"Index","open","high","low","close","volume","adjusted"
2004-01-30,48.560001,49,48.560001,49,2100,45.092063
2004-02-02,49.150002,49.150002,48.950001,48.950001,1300,45.046051
2004-02-03,48.900002,48.900002,48.810001,48.810001,800,44.917217
2004-02-04,48.400002,48.400002,47.75,47.75,1000,43.941755
2004-02-05,48.200001,48.200001,47.900002,47.900002,500,44.079794
2004-02-06,48.630001,49.049999,48.630001,49.049999,1100,45.138075
2004-02-09,49.549999,49.689999,49.490002,49.490002,2800,45.542985
2004-02-10,49.599998,49.75,49.599998,49.599998,3300,45.644209
2004-02-11,49.799999,50.099998,49.799999,50.099998,600,46.104332
2004-02-12,50.200001,50.34,50,50.09,5100,46.095131
2004-02-13,50.279999,50.299999,49.400002,49.419998,2900,45.478565
2004-02-17,49.950001,50.150002,49.849998,50.150002,1300,46.150348
2004-02-18,50.290001,50.290001,49.900002,50,2300,46.012309
2004-02-19,50.400002,50.400002,49.560001,49.560001,1900,45.607402
2004-02-20,49.599998,49.599998,48.450001,48.450001,2100,44.585928
2004-02-23,48,48.150002,47.669998,47.849998,1900,44.033778
2004-02-24,47.5,47.849998,47.32,47.849998,5400,44.033778
2004-02-25,47.900002,47.900002,47.900002,47.900002,500,44.079794
2004-02-26,48.48,48.849998,48.48,48.849998,500,44.954025
2004-02-27,49.290001,49.299999,49,49.299999,4500,45.368136
2004-03-01,49.630001,49.630001,49.630001,49.630001,200,45.671819
2004-03-02,50.23,50.240002,49.950001,49.950001,1900,45.966298
2004-03-03,49.5,49.889999,49.5,49.889999,1100,45.911082
2004-03-04,50.25,50.25,50.25,50.25,100,46.242371
2004-03-05,50.490002,50.59,50.490002,50.549999,1600,46.518444
2004-03-08,50.799999,50.799999,49.869999,49.869999,3900,45.892676
2004-03-09,49.07,49.07,48.93,48.93,400,45.027646
2004-03-10,48.650002,48.650002,47.849998,47.849998,1100,44.033778
2004-03-11,47.970001,47.970001,47.970001,47.970001,100,44.144211
2004-03-12,48.240002,48.240002,47.950001,47.959999,1200,44.135006
2004-03-15,48.450001,48.450001,47.810001,47.810001,400,43.996971
2004-03-16,48.049999,48.049999,47.110001,47.360001,1400,43.58286
2004-03-17,48.009998,48.290001,48.009998,48.150002,12000,44.309855
2004-03-18,48.150002,48.150002,47.639999,47.639999,400,43.840528
2004-03-19,47.650002,47.650002,47.650002,47.650002,400,43.849732
2004-03-22,46.900002,46.900002,46.310001,46.310001,4000,42.616602
2004-03-23,46.799999,46.799999,46.639999,46.639999,900,42.920281
2004-03-24,46.639999,46.639999,46.540001,46.540001,300,42.828258
2004-03-25,47.009998,47.77,47.009998,47.77,1800,43.960161
2004-03-26,47.73,48.240002,47.73,48.16,2200,44.319056
2004-03-29,48.549999,48.959999,48.549999,48.880001,1800,44.981634
2004-03-30,48.779999,49.290001,48.779999,49.290001,1400,45.358935
2004-03-31,48.869999,49.470001,48.869999,49.470001,1500,45.52458
2004-04-01,49.790001,49.869999,49.790001,49.869999,1200,45.892676
2004-04-02,51,51,50.41,50.880001,5300,46.822127
2004-04-05,50.939999,51.369999,50.84,51.369999,7100,47.273045
2004-04-06,50.82,51.119999,50.68,50.84,5200,46.785316
2004-04-07,50.700001,51.09,50.57,50.889999,1300,46.831328
2004-04-08,51.400002,51.400002,50.849998,50.849998,1600,46.794517
2004-04-12,51.200001,51.200001,50.950001,50.950001,3100,46.886544
2004-04-13,51.349998,51.349998,50.029999,50.040001,2300,46.04912
2004-04-14,49.68,49.68,49.68,49.68,700,45.717831
2004-04-15,49.82,49.82,49.400002,49.400002,7000,45.460163
2004-04-16,49.34,49.470001,48.970001,49.470001,939900,45.52458
2004-04-19,49.470001,49.470001,49.470001,49.470001,0,45.52458
2004-04-20,50.23,50.360001,49.5,49.52,98700,45.570591
2004-04-21,49.060001,49.41,49.060001,49.389999,1000,45.450958
2004-04-22,49.810001,50.529999,49.77,50.459999,1800,46.435622
2004-04-23,50.400002,50.400002,49.860001,50.310001,32100,46.297587
2004-04-26,50.549999,50.900002,50.25,50.25,2600,46.242371
2004-04-27,50.380001,50.709999,49.919998,49.919998,102100,45.938688
2004-04-28,49.630001,49.630001,48.939999,48.939999,85900,45.036847
2004-04-29,48.5,48.5,47.91,47.91,800,44.088995
2004-04-30,48.43,48.43,47.360001,47.360001,1500,43.58286
2004-05-03,48.25,48.25,47.869999,47.889999,600,44.070589
2004-05-04,48.18,48.18,48.18,48.18,1000,44.337461
2004-05-05,48.540001,48.669998,48.529999,48.59,2400,44.714762
2004-05-06,48.02,48.119999,47.68,47.68,2400,43.877338
2004-05-07,47.970001,48.040001,47.150002,47.150002,1900,43.389609
2004-05-10,46.52,46.52,45.759998,45.759998,3200,42.110464
2004-05-11,46.610001,46.759998,46.459999,46.759998,2200,43.03071
