"Index","open","high","low","close","volume","adjusted"
2004-01-30,49.09,49.299999,49.09,49.200001,1000,37.640331
2004-02-02,49.450001,49.700001,49,49.209999,3100,37.64798
2004-02-03,49.349998,49.490002,49.349998,49.450001,2100,37.831593
2004-02-04,49.150002,49.189999,48.400002,48.400002,3100,37.028294
2004-02-05,48.450001,48.849998,48.450001,48.560001,1700,37.150701
2004-02-06,49.240002,49.799999,49.240002,49.799999,2900,38.099359
2004-02-09,49.93,50.02,49.919998,49.919998,7100,38.191163
2004-02-10,49.950001,50.200001,49.849998,50.200001,26000,38.405379
2004-02-11,50.349998,50.73,50.27,50.73,6400,38.810853
2004-02-12,50.650002,50.849998,50.549999,50.549999,3500,38.673144
2004-02-13,50.740002,50.740002,50.150002,50.200001,10300,38.405379
2004-02-17,50.549999,50.75,50.41,50.75,1700,38.826154
2004-02-18,50.700001,50.799999,50.549999,50.549999,6200,38.673144
2004-02-19,50.77,50.790001,50,50,3200,38.252369
2004-02-20,49.650002,50.150002,49.650002,50.150002,1300,38.367127
2004-02-23,50,50,49.330002,49.560001,2100,37.915749
2004-02-24,49.349998,49.610001,49.349998,49.57,800,37.923398
2004-02-25,49.48,49.900002,49.48,49.900002,4800,38.175865
2004-02-26,50.290001,50.290001,50.18,50.18,700,38.390077
2004-02-27,50.290001,50.689999,50.290001,50.599998,19300,38.711396
2004-03-01,50.700001,51.259998,50.700001,51.259998,8000,39.216327
2004-03-02,51.330002,51.41,51.139999,51.139999,1800,39.124522
2004-03-03,50.93,51.02,50.73,51.02,1200,39.032717
2004-03-04,51.25,51.450001,51.119999,51.450001,3900,39.361688
2004-03-05,51.32,51.939999,51.32,51.790001,2400,39.621804
2004-03-08,51.919998,51.93,51.369999,51.490002,11500,39.39229
2004-03-09,51.200001,51.200001,51,51,1600,39.017416
2004-03-10,51,51,50.209999,50.209999,4700,38.413028
2004-03-11,49.790001,50.459999,49.619999,49.619999,3900,37.96165
2004-03-12,49.919998,50.389999,49.919998,50.389999,4300,38.550737
2004-03-15,50.5,50.5,49.75,49.75,4600,38.061107
2004-03-16,50.07,50.080002,49.360001,49.360001,9300,37.762739
2004-03-17,49.93,50.509998,49.93,50.459999,2600,38.60429
2004-03-18,50.220001,50.220001,50.16,50.169998,2700,38.382425
2004-03-19,50.240002,50.450001,49.990002,49.990002,2200,38.244719
2004-03-22,49.630001,49.630001,49.25,49.389999,3900,37.785689
2004-03-23,49.57,49.709999,49.349998,49.650002,6300,37.984603
2004-03-24,49.48,49.48,49.110001,49.110001,1500,37.571477
2004-03-25,49.349998,49.880001,49.349998,49.880001,3200,38.160564
2004-03-26,49.849998,50.150002,49.849998,50.040001,1200,38.282971
2004-03-29,50.299999,50.669998,50.299999,50.610001,2600,38.719048
2004-03-30,50.73,51.209999,50.73,51.209999,1200,39.178075
2004-03-31,51.130001,51.41,50.950001,51.41,3300,39.331085
2004-04-01,51.869999,51.900002,51.650002,51.650002,8000,39.514698
2004-04-02,52.43,52.43,52.119999,52.290001,12600,40.004328
