"Index","open","high","low","close","volume","adjusted"
2006-05-02,50.009998,50.200001,49.939999,50.139999,39900,40.332578
2006-05-03,50.110001,50.110001,49.959999,50.110001,23500,40.308447
2006-05-04,50.27,50.27,50.110001,50.200001,14800,40.380843
2006-05-05,50.439999,50.700001,50.43,50.700001,10900,40.783043
2006-05-08,50.790001,50.900002,50.790001,50.849998,22800,40.903701
2006-05-09,50.849998,50.919998,50.84,50.91,12700,40.951966
2006-05-10,50.849998,50.91,50.799999,50.860001,8000,40.911746
2006-05-11,50.700001,50.700001,50.299999,50.32,9200,40.47737
2006-05-12,50.259998,50.259998,49.849998,49.849998,12300,40.099301
2006-05-15,49.799999,50.080002,49.75,50.080002,30100,40.284316
2006-05-16,50.220001,50.310001,50.110001,50.119999,11300,40.31649
2006-05-17,49.93,49.93,49.299999,49.41,55800,39.745367
2006-05-18,49.459999,49.490002,49.09,49.16,23700,39.544267
2006-05-19,49.290001,49.349998,48.959999,49.240002,41000,39.608621
2006-05-22,49.139999,49.23,48.849998,49.200001,29700,39.576444
2006-05-23,49.360001,49.400002,48.98,48.98,11000,39.399475
2006-05-24,48.869999,49.27,48.75,49.27,48600,39.632752
2006-05-25,49.43,49.57,49.34,49.57,14700,39.874071
2006-05-26,49.689999,49.810001,49.619999,49.790001,13200,40.051039
2006-05-30,49.560001,49.560001,49.080002,49.080002,14600,39.479917
2006-05-31,49.220001,49.369999,49.080002,49.369999,36400,39.71319
2006-06-01,49.380001,49.84,49.380001,49.84,4900,40.091259
2006-06-02,49.939999,49.939999,49.59,49.759998,18600,40.026905
2006-06-05,49.639999,49.639999,49,49,28100,39.415563
2006-06-06,49.130001,49.130001,48.630001,48.880001,65300,39.319036
2006-06-07,49.09,49.299999,48.860001,48.880001,14700,39.319036
2006-06-08,48.799999,49,48.360001,48.900002,75300,39.335125
2006-06-09,48.919998,49.150002,48.799999,48.810001,14800,39.262729
2006-06-12,48.860001,48.860001,48.389999,48.389999,14700,38.924879
2006-06-13,48.330002,48.560001,48.02,48.060001,45100,38.659429
2006-06-14,48.130001,48.259998,47.950001,48.259998,42500,38.820307
2006-06-15,48.439999,49.040001,48.439999,49.040001,23100,39.44774
2006-06-16,49.060001,49.060001,48.880001,48.959999,34700,39.383387
2006-06-19,49.040001,49.040001,48.490002,48.52,20300,39.029452
2006-06-20,48.57,48.779999,48.549999,48.59,16800,39.08576
2006-06-21,48.740002,49.080002,48.740002,48.939999,61000,39.367298
2006-06-22,48.810001,48.810001,48.549999,48.689999,28900,39.166198
2006-06-23,48.549999,48.830002,48.509998,48.599998,28900,39.093802
2006-06-26,48.52,48.580002,48.470001,48.580002,9200,39.156677
2006-06-27,48.669998,48.669998,48.23,48.25,12900,38.890687
2006-06-28,48.32,48.400002,48.139999,48.32,40300,38.947109
2006-06-29,48.68,49.240002,48.599998,49.240002,38100,39.688653
2006-06-30,49.279999,49.299999,49.169998,49.18,12100,39.640291
2006-07-03,49.080002,49.32,49.080002,49.32,7900,39.753134
2006-07-05,49.369999,49.369999,48.889999,49.049999,11100,39.535507
2006-07-06,49.209999,49.32,49.209999,49.23,2900,39.680591
2006-07-07,49.189999,49.189999,48.759998,48.84,13600,39.366242
2006-07-10,48.880001,49.110001,48.880001,49.02,6200,39.511327
2006-07-11,48.970001,48.970001,48.73,48.900002,9900,39.414605
2006-07-12,49.150002,49.150002,48.639999,48.68,4800,39.237278
2006-07-13,48.540001,48.540001,48.09,48.189999,41000,38.842325
2006-07-14,48.049999,48.049999,47.599998,47.77,39700,38.503796
2006-07-17,47.740002,47.900002,47.650002,47.880001,17300,38.592459
2006-07-18,48,48,47.529999,47.91,14400,38.616639
2006-07-19,48.259998,48.900002,48.259998,48.799999,37600,39.334
2006-07-20,48.860001,48.91,48.450001,48.450001,37800,39.051893
2006-07-21,48.439999,48.48,48.060001,48.16,29600,38.818145
2006-07-24,48.310001,48.849998,48.310001,48.779999,16000,39.31788
2006-07-25,48.740002,49.060001,48.610001,49.029999,37700,39.519386
2006-07-26,48.860001,49,48.700001,48.93,24300,39.438784
2006-07-27,48.970001,49.169998,48.779999,48.779999,29100,39.31788
2006-07-28,49.009998,49.419998,49.009998,49.34,24900,39.769254
2006-07-31,49.279999,49.290001,49.200001,49.290001,10400,39.728954
2006-08-01,49.07,49.07,48.799999,48.939999,23400,39.446843
2006-08-02,49.110001,49.34,49.07,49.220001,8300,39.672532
2006-08-03,48.990002,49.369999,48.990002,49.34,16700,39.769254
2006-08-04,49.700001,49.700001,49.23,49.25,39100,39.696712
2006-08-07,49.23,49.240002,49.110001,49.23,6500,39.680591
2006-08-08,49.360001,49.360001,48.91,48.970001,20000,39.471026
2006-08-09,49.259998,49.259998,48.560001,48.560001,23800,39.140556
2006-08-10,48.610001,49.099998,48.59,48.98,12400,39.479085
2006-08-11,48.919998,48.959999,48.830002,48.919998,17700,39.430722
2006-08-14,49.27,49.419998,49.040001,49.040001,6800,39.527448
2006-08-15,49.400002,49.610001,49.400002,49.610001,7700,39.986881
