"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.740002,50.740002,50.009998,50.009998,15900,47.498731
2010-09-10,50.18,50.18,50.18,50.18,2600,47.660196
2010-09-13,50.18,50.18,50.18,50.18,0,47.660196
2010-09-14,51.09,51.34,51.09,51.130001,3200,48.562493
2010-09-15,50.880001,50.880001,50.84,50.84,1600,48.287054
2010-09-16,51.029999,51.18,50.82,51.18,36700,48.609981
2010-09-17,50.950001,51.599998,50.84,51.490002,12000,48.904416
2010-09-20,52.060001,52.470001,52.060001,52.470001,12600,49.835204
2010-09-21,52.57,52.57,52.560001,52.560001,1200,49.920685
2010-09-22,52.630001,52.630001,51.66,51.66,7400,49.065877
2010-09-23,52.23,52.23,51.610001,51.610001,2000,49.018389
2010-09-24,52.639999,53.049999,52.639999,53.049999,6500,50.386077
2010-09-27,52.990002,53.080002,52.759998,53.080002,10600,50.414573
2010-09-28,52.34,53.349998,52.169998,53.349998,36700,50.671012
2010-09-29,53.400002,53.700001,53.259998,53.529999,15300,50.841974
2010-09-30,53.84,53.84,52.779999,53.209999,6500,50.538043
2010-10-01,53.470001,53.549999,53.450001,53.549999,300,50.86097
2010-10-04,52.799999,52.82,52.689999,52.82,1400,50.167627
2010-10-05,54.07,54.07,54.060001,54.060001,200,51.345362
2010-10-06,54.299999,54.32,53.66,53.66,700,50.965447
2010-10-07,54.040001,54.040001,53.939999,53.939999,300,51.231385
2010-10-08,53.990002,54.5,53.560001,54.5,500,51.763266
2010-10-11,54.66,54.66,54.66,54.66,1800,51.915231
2010-10-12,54.139999,54.82,53.91,54.810001,1300,52.0577
2010-10-13,55.5,55.98,55.5,55.869999,2100,53.06447
2010-10-14,55.779999,55.779999,55.779999,55.779999,500,52.978989
2010-10-15,55.790001,55.790001,55.630001,55.689999,7400,52.893508
2010-10-18,55.689999,55.689999,55.689999,55.689999,0,52.893508
2010-10-19,55.689999,55.689999,55.689999,55.689999,0,52.893508
2010-10-20,55.310001,55.310001,55.23,55.23,300,52.456608
2010-10-21,55.75,55.75,54.709999,54.709999,4100,51.96272
2010-10-22,54.709999,54.709999,54.709999,54.709999,0,51.96272
2010-10-25,56.349998,56.349998,55.93,55.93,7700,53.121458
2010-10-26,55.720001,55.720001,55.709999,55.709999,3000,52.912505
2010-10-27,55.549999,55.57,55.27,55.299999,5700,52.523093
2010-10-28,55.790001,55.790001,55.310001,55.43,2300,52.646566
2010-10-29,55.439999,55.720001,55.439999,55.720001,1100,52.922004
2010-11-01,55.720001,55.720001,55.720001,55.720001,0,52.922004
2010-11-02,55.880001,55.880001,55.880001,55.880001,1000,53.07397
2010-11-03,56.5,56.5,56.290001,56.290001,6100,53.463381
2010-11-04,57.73,57.869999,57.73,57.810001,1700,54.907055
2010-11-05,58.389999,58.389999,58.380001,58.380001,2000,55.448432
2010-11-08,58.5,58.5,58.5,58.5,100,55.562405
2010-11-09,58.5,58.5,58.5,58.5,0,55.562405
2010-11-10,58.07,58.07,58.07,58.07,900,55.153997
2010-11-11,57.990002,58.360001,57.990002,58.360001,13100,55.429435
2010-11-12,58.09,58.09,58.009998,58.009998,600,55.097009
2010-11-15,57.740002,57.740002,57.360001,57.360001,1200,54.479651
2010-11-16,56.830002,56.84,56.82,56.84,1000,53.985762
2010-11-17,56.84,56.84,56.84,56.84,0,53.985762
2010-11-18,57.310001,57.66,57.310001,57.419998,1400,54.536636
2010-11-19,57.299999,57.669998,57.299999,57.669998,300,54.774082
2010-11-22,57.68,57.939999,57.68,57.939999,500,55.030524
2010-11-23,57.380001,57.779999,57.380001,57.759998,14600,54.859562
2010-11-24,57.759998,57.759998,57.759998,57.759998,0,54.859562
2010-11-26,57.759998,57.759998,57.759998,57.759998,0,54.859562
2010-11-29,58.619999,58.619999,58.48,58.48,400,55.543409
2010-11-30,57.950001,58.369999,57.950001,58.369999,6400,55.438932
2010-12-01,59.720001,59.720001,59.720001,59.720001,1000,56.721143
2010-12-02,59.73,60.110001,59.639999,60.09,17600,57.072563
2010-12-03,59.93,60.09,59.900002,59.939999,800,56.930093
2010-12-06,60.630001,60.900002,60.630001,60.849998,1600,57.794397
2010-12-07,61.810001,61.810001,61.349998,61.450001,16700,58.36427
2010-12-08,61.259998,61.52,61.23,61.259998,6500,58.183809
