"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.689999,50.689999,50.689999,50.689999,100,47.748062
2010-09-10,50.419998,50.419998,50.419998,50.419998,100,47.493732
2010-09-13,51.32,51.32,51.32,51.32,100,48.341499
2010-09-14,51.279999,51.43,51.279999,51.43,1600,48.445115
2010-09-15,51.43,51.43,51.43,51.43,0,48.445115
2010-09-16,51.299999,51.299999,50.709999,50.880001,10900,47.927037
2010-09-17,50.790001,51.5,50.790001,51.32,15200,48.341499
2010-09-20,52.119999,52.599998,52.07,52.599998,12900,49.547209
2010-09-21,52.5,52.68,52.439999,52.549999,4200,49.500112
2010-09-22,52.110001,52.110001,51.650002,51.77,4100,48.765383
2010-09-23,51.5,52.02,51.5,52.02,900,49.000873
2010-09-24,52,52.740002,52,52.740002,5800,49.679087
2010-09-27,52.610001,52.830002,52.509998,52.599998,10000,49.547209
2010-09-28,52.029999,53.18,51.860001,53.18,33500,50.093549
2010-09-29,53.150002,53.41,52.900002,53.209999,18400,50.121807
2010-09-30,53.68,53.68,52.93,52.990002,10400,49.914578
2010-10-01,53.32,53.400002,53.23,53.23,1700,50.140647
2010-10-04,53.23,53.23,53.23,53.23,0,50.140647
2010-10-05,53.02,54,53.02,54,4400,50.865958
2010-10-06,54,54,54,54,1000,50.865958
2010-10-07,54,54,54,54,0,50.865958
2010-10-08,53.790001,54.439999,53.580002,54.439999,15900,51.28042
2010-10-11,54.450001,54.610001,54.439999,54.48,20000,51.318099
2010-10-12,54.119999,54.77,53.759998,54.77,3200,51.591269
2010-10-13,54.84,55.869999,54.84,55.560001,2100,52.33542
2010-10-14,55.439999,55.470001,55.259998,55.259998,1100,52.052829
2010-10-15,55.59,55.639999,55.43,55.43,700,52.212964
2010-10-18,55.48,55.52,55.48,55.5,500,52.278901
2010-10-19,55.5,55.5,55.5,55.5,0,52.278901
2010-10-20,55.310001,55.400002,55.25,55.400002,5400,52.184706
2010-10-21,55.470001,55.470001,54.560001,54.560001,7000,51.393458
2010-10-22,55.23,55.259998,55.23,55.259998,3000,52.052829
2010-10-25,55.889999,56.27,55.669998,55.73,10600,52.495552
2010-10-26,55.380001,55.580002,55.16,55.580002,6600,52.35426
2010-10-27,55.400002,55.400002,55.360001,55.360001,800,52.147027
2010-10-28,55.52,55.549999,54.880001,55.040001,5100,51.845599
2010-10-29,55.02,55.400002,55.02,55.400002,2200,52.184706
2010-11-01,55.849998,55.849998,54.549999,54.549999,200,51.384036
2010-11-02,55.470001,56.029999,55.439999,55.880001,11500,52.636848
2010-11-03,56.080002,56.080002,55.91,55.91,8600,52.665105
2010-11-04,57.32,57.32,57.32,57.32,300,53.993272
2010-11-05,58,58.09,58,58.09,1800,54.718583
2010-11-08,57.66,57.959999,57.66,57.959999,1000,54.596127
2010-11-09,58,58,57.060001,57.060001,5100,53.748363
2010-11-10,57.540001,57.709999,57.509998,57.709999,6700,54.360637
2010-11-11,57.400002,57.700001,57.400002,57.700001,4300,54.351219
2010-11-12,57.139999,57.139999,57.139999,57.139999,500,53.823719
2010-11-15,57.09,57.130001,56.98,57,8000,53.691844
2010-11-16,57,57,57,57,0,53.691844
2010-11-17,55.610001,55.759998,55.610001,55.759998,700,52.52381
2010-11-18,56.580002,56.84,56.580002,56.84,200,53.541131
2010-11-19,56.41,56.990002,56.41,56.990002,600,53.682426
2010-11-22,56.810001,57.119999,56.810001,57.119999,1100,53.804879
2010-11-23,56.639999,56.639999,56.5,56.5,800,53.220863
2010-11-24,56.5,56.5,56.5,56.5,0,53.220863
2010-11-26,57.950001,58,57.830002,57.830002,600,54.473675
2010-11-29,57.169998,57.880001,56.849998,57.759998,3900,54.407734
2010-11-30,57.029999,57.599998,56.830002,57.23,15500,53.908495
2010-12-01,57.23,57.23,57.23,57.23,0,53.908495
2010-12-02,58.68,59.02,58.68,59.02,1600,55.594608
2010-12-03,58.959999,59.439999,58.959999,59.439999,1800,55.990231
2010-12-06,59.52,59.959999,59.389999,59.880001,10000,56.404696
2010-12-07,60.57,60.57,60.439999,60.439999,7700,56.932193
2010-12-08,60.470001,60.57,60.259998,60.299999,7100,56.800319
2010-12-09,60.209999,60.389999,60.209999,60.389999,1200,56.885096
2010-12-10,60.59,60.59,60.32,60.34,2600,56.837998
2010-12-13,61.279999,61.279999,60.869999,60.869999,1300,57.337237
2010-12-14,61.029999,61.040001,60.73,60.73,4800,57.205363
2010-12-15,60.82,60.82,60.66,60.77,1200,57.243042
2010-12-16,60.619999,61.189999,60.619999,61.110001,3900,57.56331
2010-12-17,60.959999,60.959999,60.959999,60.959999,500,57.422014
2010-12-20,61.939999,62.009998,61.650002,62.009998,1100,58.411073
2010-12-21,62.09,62.389999,62.02,62.290001,3100,58.674825
2010-12-22,62.369999,62.369999,62.349998,62.369999,900,58.75018
2010-12-23,62.459999,62.459999,62.25,62.25,3400,58.637146
2010-12-27,61.810001,62.18,61.599998,62.150002,1000,58.883481
2010-12-28,62.099998,62.099998,61.779999,61.779999,1200,58.532925
2010-12-29,62.02,62.150002,62.02,62.150002,900,58.883481
2010-12-30,62.09,62.139999,62.040001,62.040001,1400,58.779262
2010-12-31,61.799999,61.849998,61.799999,61.849998,1200,58.599245
2011-01-03,62.779999,62.779999,62.740002,62.740002,1400,59.442471
2011-01-04,62.700001,62.700001,61.200001,61.509998,1400,58.277115
2011-01-05,61.32,61.599998,61.290001,61.59,6600,58.352912
2011-01-06,62.02,62.02,61.810001,61.869999,1000,58.618195
2011-01-07,61.810001,61.810001,60.75,61.369999,4000,58.144474
2011-01-10,60.84,61.709999,60.84,61.66,2400,58.419233
2011-01-11,61.810001,61.810001,61.419998,61.419998,1100,58.191845
2011-01-12,62.169998,62.34,62.169998,62.189999,1400,58.921376
2011-01-13,62.09,62.419998,62.09,62.209999,2100,58.940325
2011-01-14,62.240002,62.470001,62.240002,62.470001,400,59.186662
2011-01-18,62.75,62.75,62.470001,62.599998,1300,59.309826
2011-01-19,62.75,62.849998,61.299999,61.299999,4900,58.078153
2011-01-20,61.16,61.240002,61.130001,61.23,5000,58.011833
2011-01-21,61.23,61.23,61.23,61.23,0,58.011833
2011-01-24,60.759998,60.759998,60.529999,60.669998,900,57.481264
2011-01-25,60.880001,61.040001,60.880001,61.02,10600,57.812871
2011-01-26,61.259998,62.349998,61.16,62.169998,14900,58.902426
2011-01-27,62.380001,62.669998,62.029999,62.509998,8300,59.224557
2011-01-28,62.290001,62.290001,61.040001,61.040001,39400,57.83182
2011-01-31,61.23,61.709999,61.07,61.709999,6200,58.466604
2011-02-01,61.990002,62.66,61.990002,62.66,400,59.366674
2011-02-02,62.66,62.66,62.66,62.66,0,59.366674
2011-02-03,62.25,62.5,61.73,62.5,3800,59.215084
2011-02-04,62.450001,62.459999,62.450001,62.450001,4200,59.167712
2011-02-07,63.049999,63.419998,63.040001,63.419998,1600,60.086728
2011-02-08,63.259998,63.400002,63.02,63.400002,500,60.067782
2011-02-09,63.439999,63.459999,63.029999,63.029999,2200,59.717226
2011-02-10,63.07,63.52,63.07,63.52,700,60.181474
2011-02-11,64.089996,64.220001,64.089996,64.220001,300,60.844684
2011-02-14,64.349998,64.43,64.349998,64.400002,800,61.015224
