"Index","open","high","low","close","volume","adjusted"
2013-04-18,49.34,49.34,49.34,49.34,100,46.206737
2013-04-19,49.34,49.34,49.34,49.34,0,46.206737
2013-04-22,49.34,49.34,49.34,49.34,0,46.206737
2013-04-23,49.34,49.34,49.34,49.34,0,46.206737
2013-04-24,50.049999,50.049999,50.049999,50.049999,600,46.871649
2013-04-25,51.009998,51.009998,51.009998,51.009998,100,47.770685
2013-04-26,50.790001,50.790001,50.790001,50.790001,400,47.564658
2013-04-29,50.790001,50.790001,50.790001,50.790001,0,47.564658
2013-04-30,49.970001,49.970001,49.970001,49.970001,900,46.796731
2013-05-01,49.970001,49.970001,49.970001,49.970001,0,46.796731
2013-05-02,51.119999,51.189999,51.119999,51.189999,400,47.939254
2013-05-03,51.189999,51.189999,51.189999,51.189999,0,47.939254
2013-05-06,51.189999,51.189999,51.189999,51.189999,0,47.939254
2013-05-07,51.189999,51.189999,51.189999,51.189999,0,47.939254
2013-05-08,52.119999,52.299999,52.119999,52.279999,1800,48.960036
2013-05-09,52.110001,52.110001,52.110001,52.110001,500,48.800833
2013-05-10,52.869999,52.869999,52.150002,52.25,1900,48.931942
2013-05-13,52.93,52.93,52.18,52.32,500,48.997496
2013-05-14,52.869999,52.869999,52.869999,52.869999,400,49.512569
2013-05-15,52.98,52.98,52.98,52.98,200,49.615584
2013-05-16,53.299999,53.299999,53.290001,53.290001,1200,49.905899
2013-05-17,53.310001,53.310001,53.299999,53.299999,600,49.915263
2013-05-20,53.299999,53.299999,53.299999,53.299999,0,49.915263
2013-05-21,53.779999,53.830002,53.779999,53.779999,1100,50.36478
2013-05-22,53.75,53.75,53.290001,53.290001,600,49.905899
2013-05-23,52.650002,52.740002,52.650002,52.740002,300,49.390827
2013-05-24,52.93,52.93,52.93,52.93,100,49.56876
2013-05-28,53.860001,53.860001,53.700001,53.700001,1000,50.289863
2013-05-29,53.41,53.41,53.41,53.41,100,50.018278
2013-05-30,53.630001,53.630001,53.630001,53.630001,1500,50.224308
2013-05-31,53.619999,53.619999,53.619999,53.619999,1000,50.214941
2013-06-03,53.619999,53.619999,53.619999,53.619999,0,50.214941
2013-06-04,53.110001,53.259998,53.110001,53.259998,1000,49.877802
2013-06-05,52.099998,52.099998,52.099998,52.099998,100,48.791466
2013-06-06,52.099998,52.099998,52.099998,52.099998,0,48.791466
2013-06-07,52.099998,52.099998,52.099998,52.099998,0,48.791466
2013-06-10,53.130001,53.25,53.130001,53.25,3800,49.868438
2013-06-11,53.18,53.18,53.18,53.18,500,49.802884
2013-06-12,52.610001,52.610001,52.610001,52.610001,500,49.269081
2013-06-13,52.610001,52.610001,52.610001,52.610001,0,49.269081
2013-06-14,52.959999,52.959999,52.599998,52.599998,1300,49.259714
2013-06-17,52.950001,52.950001,52.950001,52.950001,500,49.58749
2013-06-18,52.950001,52.950001,52.950001,52.950001,0,49.58749
2013-06-19,53.389999,53.400002,53.360001,53.360001,800,49.971454
2013-06-20,51.84,51.84,51.73,51.73,700,48.444963
2013-06-21,51.790001,51.790001,51.16,51.619999,1200,48.341948
2013-06-24,50.700001,50.75,50.700001,50.75,600,47.527197
2013-06-25,51.380001,51.380001,51.380001,51.380001,200,48.117191
2013-06-26,51.380001,51.380001,51.380001,51.380001,0,48.117191
2013-06-27,51.380001,51.380001,51.380001,51.380001,0,48.316553
2013-06-28,52.049999,52.049999,52.049999,52.049999,100,48.946603
2013-07-01,52.389999,52.400002,52.349998,52.349998,1600,49.228716
2013-07-02,52.349998,52.349998,52.349998,52.349998,0,49.228716
2013-07-03,52.349998,52.349998,52.349998,52.349998,0,49.228716
2013-07-05,52.43,52.43,52.169998,52.169998,1500,49.059448
2013-07-08,53.02,53.02,53.02,53.02,200,49.85877
2013-07-09,53.439999,53.439999,53.439999,53.439999,600,50.253726
2013-07-10,53.439999,53.439999,53.439999,53.439999,0,50.253726
2013-07-11,53.439999,53.439999,53.439999,53.439999,0,50.253726
2013-07-12,54.080002,54.09,54.07,54.07,1600,50.846165
2013-07-15,54.32,54.32,54.32,54.32,700,51.081259
2013-07-16,54.41,54.41,54.09,54.09,600,50.864973
2013-07-17,54.09,54.09,54.09,54.09,0,50.864973
2013-07-18,54.73,54.73,54.66,54.73,1500,51.466813
2013-07-19,54.630001,54.630001,54.630001,54.630001,200,51.372777
2013-07-22,54.990002,54.990002,54.779999,54.779999,1400,51.513831
2013-07-23,54.779999,54.779999,54.779999,54.779999,0,51.513831
2013-07-24,54.779999,54.779999,54.779999,54.779999,0,51.513831
2013-07-25,54.5,54.509998,54.5,54.509998,600,51.259929
2013-07-26,54.5,54.5,54.5,54.5,200,51.250527
2013-07-29,54.630001,54.66,54.509998,54.630001,900,51.372777
2013-07-30,54.630001,54.630001,54.630001,54.630001,0,51.372777
2013-07-31,54.630001,54.630001,54.630001,54.630001,0,51.372777
2013-08-01,55.32,55.32,55.32,55.32,800,52.021635
2013-08-02,55.259998,55.380001,55.259998,55.380001,400,52.078059
2013-08-05,55.32,55.32,55.310001,55.310001,400,52.012233
2013-08-06,54.98,54.98,54.98,54.98,100,51.701907
2013-08-07,54.57,54.630001,54.57,54.630001,300,51.372777
2013-08-08,54.630001,54.630001,54.630001,54.630001,0,51.372777
2013-08-09,54.849998,54.849998,54.849998,54.849998,100,51.579657
2013-08-12,54.75,54.75,54.75,54.75,100,51.485621
2013-08-13,54.75,54.75,54.75,54.75,0,51.485621
2013-08-14,54.91,54.919998,54.91,54.919998,300,51.645483
2013-08-15,54.009998,54.009998,54.009998,54.009998,200,50.789741
2013-08-16,53.880001,53.889999,53.759998,53.759998,600,50.554647
2013-08-19,53.580002,53.580002,53.580002,53.580002,1600,50.385382
2013-08-20,53.580002,53.580002,53.580002,53.580002,0,50.385382
2013-08-21,53.990002,53.990002,53.450001,53.450001,1400,50.263132
2013-08-22,53.450001,53.450001,53.450001,53.450001,0,50.263132
2013-08-23,53.450001,53.450001,53.450001,53.450001,0,50.263132
2013-08-26,54.540001,54.540001,54,54.110001,500,50.883781
2013-08-27,52.970001,52.970001,52.970001,52.970001,200,49.811752
2013-08-28,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-08-29,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-08-30,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-09-03,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-09-04,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-09-05,52.970001,52.970001,52.970001,52.970001,0,49.811752
2013-09-06,53.950001,53.950001,53.900002,53.900002,1000,50.686302
2013-09-09,53.900002,53.900002,53.900002,53.900002,2200,50.686302
2013-09-10,54.580002,54.610001,54.580002,54.610001,900,51.353969
