"Index","open","high","low","close","volume","adjusted"
2004-01-30,49.099998,49.389999,49.099998,49.349998,10700,41.499676
2004-02-02,49.529999,49.790001,49.25,49.709999,8100,41.80241
2004-02-03,49.48,49.599998,49.439999,49.509998,4100,41.634224
2004-02-04,49.299999,49.299999,48.959999,48.959999,2600,41.171715
2004-02-05,49,49.150002,49,49.09,700,41.281037
2004-02-06,49.389999,49.939999,49.389999,49.939999,5400,41.995822
2004-02-09,50.099998,50.110001,50,50.02,11400,42.063098
2004-02-10,50.130001,50.240002,50.099998,50.139999,2400,42.164008
2004-02-11,50.220001,50.700001,50.150002,50.700001,3800,42.634927
2004-02-12,50.700001,50.740002,50.610001,50.639999,7700,42.584471
2004-02-13,50.68,50.68,50.119999,50.119999,9100,42.147189
2004-02-17,50.419998,50.860001,50.419998,50.84,4600,42.752656
2004-02-18,50.860001,50.860001,50.5,50.5,5400,42.466742
2004-02-19,50.919998,50.919998,50.299999,50.299999,5400,42.298556
2004-02-20,49.869999,50,49.68,50,5100,42.046279
2004-02-23,50.080002,50.080002,49.59,49.59,2700,41.701499
2004-02-24,49.349998,49.66,49.290001,49.5,5000,41.625816
2004-02-25,49.68,49.939999,49.68,49.939999,2700,41.995822
2004-02-26,49.810001,50.279999,49.810001,50.220001,2000,42.231283
2004-02-27,50.43,50.669998,50.25,50.669998,5300,42.609697
2004-03-01,50.919998,51.25,50.830002,51.200001,123100,43.05539
2004-03-02,51.27,51.310001,51,51,6400,42.887204
2004-03-03,50.959999,50.959999,50.869999,50.869999,1800,42.777883
2004-03-04,51.009998,51.23,51.009998,51.200001,4300,43.05539
2004-03-05,51.02,51.470001,51,51.470001,2900,43.28244
2004-03-08,51.450001,51.450001,50.75,50.75,7500,42.676973
2004-03-09,50.82,50.82,50.34,50.34,7100,42.332194
2004-03-10,50.41,50.41,49.450001,49.450001,4000,41.58377
2004-03-11,49.439999,49.669998,48.919998,48.919998,5100,41.138078
2004-03-12,49.09,49.529999,49.07,49.52,3900,41.642635
2004-03-15,49.580002,49.580002,48.900002,48.900002,5300,41.121262
2004-03-16,49.16,49.23,48.77,49.07,4200,41.264218
2004-03-17,49.43,49.849998,49.43,49.84,4600,41.911731
2004-03-18,49.700001,49.720001,49.470001,49.5,2500,41.625816
2004-03-19,49.700001,49.790001,49.349998,49.349998,2500,41.499676
2004-03-22,48.919998,48.919998,48.5,48.549999,5200,40.826936
2004-03-23,48.799999,48.799999,48.470001,48.68,2300,40.936257
2004-03-24,48.599998,48.630001,48.34,48.34,3200,40.650342
2004-03-25,48.689999,49.200001,48.689999,49.200001,600,41.373539
2004-03-26,49.380001,49.610001,49.380001,49.419998,3600,41.55854
2004-03-29,49.650002,50.02,49.650002,49.830002,5400,41.903323
2004-03-30,49.93,50.32,49.900002,50.32,2900,42.315375
2004-03-31,50.32,50.540001,50.220001,50.540001,5800,42.500379
2004-04-01,50.669998,50.77,50.59,50.639999,1800,42.584471
2004-04-02,51.299999,51.299999,51.07,51.150002,4800,43.013344
2004-04-05,51.18,51.240002,51.110001,51.200001,4800,43.05539
2004-04-06,51.099998,51.23,51,51.049999,5900,42.92925
2004-04-07,50.860001,50.91,50.849998,50.91,1500,42.811521
2004-04-08,51.34,51.34,50.799999,50.869999,3900,42.777883
2004-04-12,51.029999,51.049999,50.75,50.869999,4000,42.777883
2004-04-13,51.060001,51.060001,50,50.060001,4900,42.096735
2004-04-14,49.880001,50.169998,49.619999,49.849998,3800,41.920139
2004-04-15,49.580002,49.810001,49.580002,49.810001,700,41.886504
2004-04-16,49.799999,50.060001,49.540001,50.02,2800,42.063098
2004-04-19,49.799999,49.889999,49.799999,49.830002,1900,41.903323
2004-04-20,50.209999,50.369999,49.5,49.52,5800,41.642635
2004-04-21,49.360001,49.740002,49.330002,49.740002,4000,41.827639
2004-04-22,49.919998,50.630001,49.919998,50.580002,2900,42.534017
2004-04-23,50.560001,50.630001,50.349998,50.509998,4300,42.475149
2004-04-26,50.560001,50.75,50.450001,50.450001,21700,42.424696
2004-04-27,50.5,50.580002,50.32,50.32,3000,42.315375
2004-04-28,50.200001,50.200001,49.59,49.630001,6000,41.735137
2004-04-29,49,49,48.599998,48.759998,2000,41.00353
2004-04-30,48.880001,48.880001,48.330002,48.389999,1800,40.692388
2004-05-03,48.400002,48.860001,48.400002,48.700001,3900,40.953076
2004-05-04,48.799999,49.18,48.799999,48.939999,2200,41.154896
2004-05-05,48.98,49.16,48.98,49.16,1700,41.339901
2004-05-06,48.799999,48.860001,48.369999,48.490002,2900,40.776483
2004-05-07,48.57,48.759998,47.77,47.889999,3900,40.271925
2004-05-10,47.5,47.5,46.740002,46.860001,7300,39.405773
2004-05-11,47.130001,47.59,47.130001,47.459999,2200,39.910327
2004-05-12,47.439999,47.619999,46.630001,47.619999,2700,40.044875
2004-05-13,47.610001,47.669998,47.610001,47.66,700,40.078513
2004-05-14,47.689999,47.740002,47.689999,47.740002,300,40.145788
2004-05-17,47.02,47.189999,46.919998,46.93,2100,39.464637
2004-05-18,47.200001,47.419998,47.200001,47.34,1800,39.809417
2004-05-19,47.970001,48.169998,47.630001,47.630001,3200,40.053286
2004-05-20,47.369999,47.369999,47.27,47.299999,700,39.775779
2004-05-21,47.529999,47.700001,47.419998,47.529999,11700,39.969192
2004-05-24,47.959999,47.959999,47.82,47.93,5900,40.305563
2004-05-25,47.91,48.799999,47.91,48.799999,2400,41.037167
2004-05-26,49.02,49.16,49.02,49.040001,1000,41.238991
2004-05-27,49.470001,49.540001,49.09,49.279999,2800,41.440811
2004-05-28,49.419998,49.639999,49.419998,49.639999,2600,41.743545
2004-06-01,49.630001,49.650002,49.52,49.549999,1900,41.667862
2004-06-02,49.84,49.869999,49.560001,49.799999,7400,41.878093
2004-06-03,49.52,49.560001,49.360001,49.360001,2100,41.508087
2004-06-04,49.529999,49.700001,49.48,49.66,6200,41.760364
2004-06-07,49.779999,50.18,49.779999,50.18,1500,42.197646
2004-06-08,50.220001,50.279999,50.139999,50.259998,1700,42.264918
2004-06-09,50.259998,50.259998,49.869999,49.869999,800,41.936957
2004-06-10,49.740002,49.959999,49.740002,49.849998,4600,41.920139
2004-06-14,49.779999,49.779999,49.32,49.349998,4500,41.499676
2004-06-15,49.650002,49.93,49.599998,49.669998,5500,41.768772
2004-06-16,49.669998,49.669998,49.669998,49.669998,0,41.768772
2004-06-17,49.59,49.75,49.59,49.75,400,41.836047
2004-06-18,49.84,50.009998,49.84,49.919998,2100,41.979003
2004-06-21,49.990002,50.029999,49.900002,49.900002,12900,41.962187
2004-06-22,49.77,50.119999,49.689999,50.119999,16600,42.147189
2004-06-23,49.950001,50.48,49.950001,50.48,4100,42.449923
2004-06-24,50.619999,50.799999,50.619999,50.799999,2300,42.719019
2004-06-25,50.75,50.75,50.549999,50.619999,2300,42.567652
2004-06-28,50.939999,50.939999,50.709999,50.709999,2600,42.643335
2004-06-29,50.709999,50.709999,50.709999,50.709999,0,42.643335
2004-06-30,50.619999,50.630001,50.549999,50.630001,1500,42.576063
2004-07-01,50.630001,50.630001,50.279999,50.450001,5800,42.424696
2004-07-02,50.25,50.290001,50.25,50.259998,900,42.264918
2004-07-06,50.029999,50.029999,49.669998,49.68,3900,41.777183
2004-07-07,49.48,49.919998,49.48,49.66,2300,41.760364
2004-07-08,49.5,49.560001,49.25,49.25,900,41.415585
2004-07-09,49.380001,49.380001,49.16,49.16,700,41.339901
2004-07-12,49.380001,49.380001,48.939999,49.25,2400,41.415585
2004-07-13,49.25,49.25,49.25,49.25,0,41.415585
2004-07-14,49.099998,49.099998,49.099998,49.099998,200,41.289444
2004-07-15,49.290001,49.349998,49.240002,49.349998,3700,41.499676
2004-07-16,49.41,49.490002,49.080002,49.080002,5600,41.272629
2004-07-19,49.09,49.09,48.91,49.040001,3900,41.238991
2004-07-20,49.09,49.279999,48.959999,49.279999,2200,41.440811
2004-07-21,49.700001,49.700001,48.450001,48.450001,4900,40.742845
2004-07-22,48.439999,48.549999,48.23,48.369999,3100,40.675569
2004-07-23,48,48.189999,47.900002,48.09,5800,40.440111
2004-07-26,48.130001,48.130001,47.560001,47.580002,3500,40.01124
2004-07-27,47.630001,47.860001,47.630001,47.860001,1700,40.246698
