"Index","open","high","low","close","volume","adjusted"
2006-08-25,50.650002,50.68,50.650002,50.669998,3400,41.424919
2006-08-28,51.040001,51.16,51.040001,51.099998,500,41.776463
2006-08-29,51.130001,51.330002,50.93,51.279999,17600,41.923621
2006-08-30,51.290001,51.41,51.23,51.41,4400,42.029902
2006-08-31,51.400002,51.599998,51.400002,51.599998,5500,42.185234
2006-09-01,51.68,51.82,51.68,51.790001,1200,42.34057
2006-09-05,51.790001,51.799999,51.650002,51.740002,4900,42.299693
2006-09-06,51.5,51.5,51.150002,51.150002,26400,41.817342
2006-09-07,51.150002,51.150002,50.849998,51.060001,13100,41.743763
2006-09-08,51.060001,51.209999,51.060001,51.209999,500,41.866393
2006-09-11,51.16,51.200001,50.990002,51.119999,3300,41.792814
2006-09-12,51.25,55.200001,50.950001,51.790001,11500,42.34057
2006-09-13,51.98,52.150002,51.98,52.110001,3200,42.602183
2006-09-14,51.950001,52.040001,51.860001,51.950001,10400,42.471377
2006-09-15,52.200001,52.310001,52.110001,52.240002,6000,42.708465
2006-09-18,52.150002,52.220001,52.049999,52.049999,4600,42.55313
2006-09-19,52.049999,52.07,51.75,51.889999,5700,42.422323
2006-09-20,52.240002,52.27,52.18,52.18,9600,42.659411
2006-09-21,52,52.110001,51.759998,51.779999,7100,42.332393
2006-09-22,51.619999,51.66,51.400002,51.650002,3800,42.226114
2006-09-25,51.700001,52.02,51.5,52.02,2800,42.528604
2006-09-26,51.98,52.360001,51.98,52.349998,10300,42.798392
2006-09-27,52.360001,52.5,52.360001,52.41,16500,42.847446
2006-09-28,52.59,52.59,52.34,52.490002,11900,42.912851
2006-09-29,52.580002,52.580002,52.27,52.27,26300,42.73299
2006-10-02,52.299999,52.450001,52.169998,52.169998,5100,42.651234
2006-10-03,52.110001,52.459999,52.110001,52.209999,25500,42.683936
2006-10-04,52.240002,52.82,52.240002,52.82,6100,43.182638
2006-10-05,52.990002,53.130001,52.860001,53.060001,17600,43.37885
2006-10-06,52.810001,53.02,52.810001,52.939999,13800,43.280743
2006-10-09,52.880001,53.290001,52.880001,53.209999,4300,43.50148
2006-10-10,53.32,53.389999,53.27,53.389999,3100,43.648638
2006-10-11,53.209999,53.439999,53.209999,53.299999,19700,43.575059
2006-10-12,53.5,53.810001,53.5,53.810001,8600,43.992008
2006-10-13,53.860001,54.029999,53.799999,54,17300,44.14734
2006-10-16,54.150002,54.380001,54.150002,54.34,16500,44.425305
2006-10-17,54.16,54.18,53.959999,54.110001,17100,44.23727
2006-10-18,54.450001,54.450001,54.150002,54.150002,16500,44.269972
2006-10-19,54.07,54.23,54.060001,54.169998,14600,44.286321
2006-10-20,54.099998,54.099998,53.939999,53.959999,18600,44.114637
2006-10-23,53.950001,54.290001,53.950001,54.200001,14400,44.310849
2006-10-24,54.209999,54.360001,54.189999,54.330002,17300,44.41713
2006-10-25,54.43,54.619999,54.43,54.59,3600,44.62969
2006-10-26,54.669998,54.880001,54.490002,54.880001,5600,44.866779
2006-10-27,54.66,54.790001,54.389999,54.389999,11300,44.466181
2006-10-30,54.470001,54.599998,54.27,54.48,22400,44.53976
2006-10-31,54.68,54.860001,54.380001,54.57,8000,44.613339
2006-11-01,54.68,54.68,54.16,54.23,18300,44.335374
2006-11-02,54.060001,54.119999,54.02,54.049999,16700,44.188216
2006-11-03,54.310001,54.32,53.889999,54.049999,16400,44.188216
2006-11-06,54.279999,54.630001,54.279999,54.529999,17200,44.580637
2006-11-07,54.57,54.779999,54.529999,54.59,19300,44.62969
2006-11-08,54.5,54.919998,54.5,54.799999,24500,44.801374
2006-11-09,54.869999,54.970001,54.700001,54.700001,18300,44.719621
2006-11-10,54.810001,54.970001,54.77,54.950001,19300,44.924006
2006-11-13,54.970001,55.18,54.939999,55.07,32700,45.022111
2006-11-14,55.209999,55.509998,55.029999,55.509998,27900,45.381829
2006-11-15,55.610001,55.790001,55.59,55.669998,16300,45.512636
2006-11-16,55.880001,55.939999,55.830002,55.830002,7000,45.643445
2006-11-17,55.720001,55.849998,55.650002,55.849998,7700,45.659794
2006-11-20,56.040001,56.209999,56.02,56.060001,14400,45.83148
2006-11-21,56.150002,56.330002,56.150002,56.32,14400,46.04404
2006-11-22,56.52,56.580002,56.389999,56.5,10400,46.191198
2006-11-24,56.369999,56.57,56.32,56.57,5200,46.248426
2006-11-27,56.389999,56.389999,55.650002,55.650002,16700,45.496287
2006-11-28,55.419998,55.779999,55.419998,55.720001,9700,45.553515
2006-11-29,55.990002,56.349998,55.990002,56.349998,7500,46.068565
2006-11-30,56.470001,56.82,56.34,56.720001,2800,46.371059
2006-12-01,56.689999,56.689999,56.25,56.630001,14000,46.29748
2006-12-04,56.82,57.139999,56.790001,57.139999,11900,46.714425
2006-12-05,57.169998,57.32,57.150002,57.27,21100,46.820707
2006-12-06,57.279999,57.389999,57.220001,57.32,3900,46.861583
2006-12-07,57.439999,57.439999,57.119999,57.119999,17900,46.698074
2006-12-08,57.16,57.259998,57,57.130001,4700,46.706251
2006-12-11,57.099998,57.209999,57.060001,57.169998,5300,46.738951
2006-12-12,57.169998,57.25,56.919998,57.16,7000,46.730776
2006-12-13,57.360001,57.360001,57.130001,57.240002,19000,46.796181
2006-12-14,57.349998,57.59,57.349998,57.52,8800,47.025093
2006-12-15,57.540001,57.610001,57.349998,57.369999,19600,46.90246
2006-12-18,57.380001,57.470001,57.009998,57.029999,26100,46.624495
2006-12-19,56.740002,57.049999,56.73,57.040001,8700,46.632672
2006-12-20,57.16,57.310001,57.16,57.200001,11000,46.763479
2006-12-21,57.290001,57.290001,56.84,56.869999,8200,46.493688
2006-12-22,56.380001,56.509998,56.279999,56.299999,10000,46.324192
2006-12-26,56.369999,56.619999,56.369999,56.619999,12100,46.587491
2006-12-27,56.939999,57.029999,56.880001,57.029999,23800,46.924843
2006-12-28,57.049999,57.049999,56.869999,56.939999,15600,46.85079
2006-12-29,56.889999,56.91,56.669998,56.689999,23700,46.645087
2007-01-03,56.869999,57.07,56.380001,56.580002,25600,46.554581
2007-01-04,56.59,56.650002,56.27,56.610001,34700,46.579264
2007-01-05,56.41,56.41,56.049999,56.139999,8900,46.192543
2007-01-08,56.02,56.220001,55.869999,56.119999,23500,46.176086
2007-01-09,56.25,56.34,55.98,56.25,15600,46.283052
2007-01-10,56.009998,56.450001,56.009998,56.419998,23600,46.422928
2007-01-11,56.860001,57.009998,56.810001,56.900002,31300,46.81788
2007-01-12,56.93,57.119999,56.880001,57.09,12100,46.974212
2007-01-16,57.34,57.34,57.099998,57.119999,21500,46.998896
2007-01-17,57.110001,57.380001,57.110001,57.279999,11200,47.130545
2007-01-18,57.200001,57.240002,56.939999,57,9300,46.900159
2007-01-19,56.959999,57.330002,56.959999,57.330002,6600,47.171688
2007-01-22,57.27,57.27,57.049999,57.16,21600,47.031809
2007-01-23,57.290001,57.650002,57.240002,57.470001,15600,47.286881
2007-01-24,57.709999,58.02,57.610001,58.02,25900,47.739426
2007-01-25,58,58.450001,57.509998,58.450001,32000,48.093234
2007-01-26,57.639999,57.740002,57.419998,57.73,30000,47.50081
2007-01-29,57.82,57.970001,57.740002,57.799999,15400,47.558407
2007-01-30,57.939999,58.18,57.860001,58.169998,7900,47.862845
2007-01-31,58.049999,58.73,58.049999,58.669998,19900,48.27425
2007-02-01,58.700001,59.099998,58.700001,59.080002,25200,48.611605
2007-02-02,59.189999,59.349998,59.16,59.34,14300,48.825535
2007-02-05,59.34,59.360001,59.23,59.299999,18100,48.792621
2007-02-06,59.540001,59.68,59.32,59.68,13200,49.10529
2007-02-07,59.650002,59.93,59.599998,59.84,57300,49.236939
2007-02-08,59.68,59.77,59.599998,59.73,24300,49.14643
2007-02-09,59.889999,59.889999,58.970001,59.380001,35400,48.858448
2007-02-12,59.259998,59.259998,58.849998,58.959999,23300,48.512866
2007-02-13,59.25,59.59,59.169998,59.59,8400,49.031237
2007-02-14,59.68,60.060001,59.639999,59.93,19800,49.310992
2007-02-15,60.080002,60.23,60,60.200001,20600,49.533152
2007-02-16,60.220001,60.25,60.009998,60.25,19500,49.574291
2007-02-20,60.23,60.599998,60.040001,60.599998,25500,49.862274
2007-02-21,60.43,60.59,60.27,60.59,32800,49.854047
2007-02-22,60.740002,60.810001,60.380001,60.5,36200,49.779994
2007-02-23,60.43,60.43,60.220001,60.389999,27100,49.689484
2007-02-26,60.720001,60.740002,60.169998,60.349998,58300,49.656571
2007-02-27,59.73,59.73,58.200001,58.5,41700,48.134374
2007-02-28,58.669998,59.049999,58.259998,58.709999,30400,48.307164
2007-03-01,57.740002,58.75,57.41,58.560001,63400,48.183744
2007-03-02,58.400002,58.5,57.720001,57.720001,79600,47.492584
2007-03-05,57.130001,57.439999,56.810001,56.810001,29000,46.743827
2007-03-06,57.34,57.84,57.18,57.810001,30900,47.566637
2007-03-07,57.779999,58.02,57.599998,57.669998,12700,47.451441
2007-03-08,58.25,58.419998,58.080002,58.23,18300,47.912215
2007-03-09,58.48,58.540001,58.150002,58.34,10900,48.002725
2007-03-12,58.400002,58.59,58.169998,58.490002,16700,48.126147
2007-03-13,58.220001,58.290001,57.279999,57.349998,29300,47.188142
2007-03-14,57.5,57.599998,56.509998,57.5,47900,47.311564
2007-03-15,57.73,58.060001,57.669998,58.009998,17000,47.731196
2007-03-16,58.07,58.16,57.639999,57.689999,36400,47.467897
2007-03-19,58.150002,58.349998,57.970001,58.27,17300,47.945128
2007-03-20,58.369999,58.849998,58.25,58.66,211400,48.266024
2007-03-21,58.740002,59.669998,58.610001,59.57,54000,49.01478
