"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.990002,50.990002,50.830002,50.830002,800,46.293292
2010-09-10,50.759998,50.950001,50.759998,50.919998,25600,46.375256
2010-09-13,51.41,51.610001,51.389999,51.610001,14400,47.003674
2010-09-14,51.52,51.900002,51.369999,51.689999,37100,47.076532
2010-09-15,51.639999,51.779999,51.639999,51.77,2100,47.149394
2010-09-16,51.799999,51.91,51.689999,51.91,6000,47.276898
2010-09-17,52.150002,52.18,51.93,52.060001,11800,47.413511
2010-09-20,52.259998,52.259998,52.259998,52.259998,500,47.595658
2010-09-21,53.040001,53.040001,52.630001,52.630001,6500,47.932637
2010-09-22,52.57,52.57,52.470001,52.470001,300,47.786918
2010-09-23,52.34,52.689999,52.34,52.349998,6900,47.677625
2010-09-24,52.919998,53.349998,52.919998,53.34,3600,48.579267
2010-09-27,53.25,53.25,53.189999,53.189999,3600,48.442653
2010-09-28,52.869999,53.380001,52.790001,53.380001,12000,48.615698
2010-09-29,53.119999,53.310001,53.119999,53.150002,15100,48.406226
2010-09-30,53.549999,53.599998,52.880001,53.060001,20300,48.324259
2010-10-01,53.43,53.43,52.990002,53.18,204500,48.433547
2010-10-04,53.099998,53.110001,52.48,52.48,14200,47.796024
2010-10-05,53.240002,53.77,53.240002,53.759998,14700,48.961779
2010-10-06,53.790001,53.790001,53.490002,53.630001,58600,48.843385
2010-10-07,53.48,53.580002,53.43,53.43,2800,48.661234
2010-10-08,53.700001,54.110001,53.59,54.029999,12400,49.207681
2010-10-11,54.09,54.240002,54.060001,54.169998,5600,49.335185
2010-10-12,53.639999,54.41,53.639999,54.330002,28500,49.480908
2010-10-13,54.639999,54.939999,54.639999,54.919998,9900,50.018246
2010-10-14,54.779999,54.880001,54.650002,54.66,18200,49.781453
2010-10-15,55.02,55.139999,54.950001,55.139999,8400,50.218612
2010-10-18,55.189999,55.580002,55.18,55.580002,9800,50.619343
2010-10-19,54.599998,54.950001,54.470001,54.490002,9400,49.626628
2010-10-20,54.880001,55.400002,54.84,55.25,42400,50.318794
2010-10-21,55.419998,55.619999,54.889999,55.040001,21800,50.127538
2010-10-22,55.389999,55.459999,55.360001,55.419998,12200,50.47362
2010-10-25,55.91,56.040001,55.650002,55.650002,46300,50.683095
2010-10-26,55.66,55.66,55.560001,55.560001,6300,50.601127
2010-10-27,55.259998,55.369999,55.130001,55.139999,12800,50.218612
2010-10-28,55.330002,55.68,55.330002,55.68,10200,50.710416
2010-10-29,55.720001,55.810001,55.630001,55.799999,8300,50.819705
2010-11-01,56.119999,56.169998,55.57,55.68,11200,50.710416
2010-11-02,56.169998,56.450001,56.169998,56.450001,7200,51.411692
2010-11-03,56.459999,56.509998,56.040001,56.509998,29300,51.466335
2010-11-04,57.209999,57.5,57.16,57.5,17800,52.367976
2010-11-05,57.619999,57.619999,57.389999,57.619999,23200,52.477265
2010-11-08,57.48,57.610001,57.360001,57.549999,6600,52.413513
2010-11-09,57.889999,57.889999,57.09,57.09,13400,51.99457
2010-11-10,57,57.450001,56.950001,57.450001,4700,52.322439
2010-11-11,56.950001,57.220001,56.759998,57.119999,4300,52.021891
2010-11-12,57.02,57.02,56.25,56.48,4500,51.439013
2010-11-15,56.720001,56.720001,56.48,56.490002,2800,51.448123
2010-11-16,56.040001,56.040001,55.119999,55.380001,23400,50.437192
2010-11-17,55.32,55.650002,55.32,55.639999,19000,50.673985
2010-11-18,56.470001,56.549999,56.470001,56.549999,2300,51.502765
2010-11-19,56.27,56.59,56.220001,56.59,7800,51.539196
2010-11-22,56.330002,56.66,56.009998,56.509998,17600,51.466335
2010-11-23,55.860001,55.970001,55.639999,55.900002,32600,50.910782
2010-11-24,56.380001,56.720001,56.32,56.68,4300,51.621163
2010-11-26,56.540001,56.540001,56.439999,56.439999,4000,51.402583
2010-11-29,56.139999,56.299999,55.700001,56.299999,47200,51.275078
2010-11-30,55.709999,56.279999,55.619999,55.98,51500,50.98364
2010-12-01,56.919998,57.240002,56.880001,57.200001,28900,52.094752
2010-12-02,57.580002,57.77,57.529999,57.77,6600,52.613878
2010-12-03,57.59,57.990002,57.59,57.98,9300,52.805134
2010-12-06,57.950001,57.970001,57.740002,57.970001,48800,52.796028
2010-12-07,58.650002,58.650002,57.849998,57.849998,11400,52.686736
2010-12-08,57.959999,57.959999,57.66,57.93,13500,52.759598
2010-12-09,57.849998,58,57.849998,57.990002,3400,52.814244
2010-12-10,58.32,58.32,58.130001,58.299999,4500,53.096573
