"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.84,50.849998,50.73,50.73,1200,44.472169
2010-09-10,50.66,50.84,50.66,50.830002,28200,44.559835
2010-09-13,51.360001,51.490002,51.16,51.240002,17500,44.919259
2010-09-14,51.34,51.509998,51.029999,51.330002,49100,44.998157
2010-09-15,51.150002,51.360001,51.150002,51.349998,2400,45.015687
2010-09-16,51.18,51.360001,51.110001,51.360001,13500,45.024456
2010-09-17,51.43,51.43,51.220001,51.279999,11500,44.954322
2010-09-20,51.869999,52.049999,51.860001,52.049999,3800,45.629339
2010-09-21,52.099998,52.240002,51.849998,51.849998,7100,45.454009
2010-09-22,51.599998,51.759998,51.560001,51.759998,9900,45.375111
2010-09-23,51.16,51.509998,51.16,51.18,4100,44.866659
2010-09-24,51.639999,52.060001,51.639999,52.049999,2500,45.629339
2010-09-27,51.950001,52.060001,51.900002,52.060001,6700,45.638107
2010-09-28,51.630001,52.099998,51.439999,52.099998,24500,45.67317
2010-09-29,51.880001,52.080002,51.759998,51.759998,10500,45.375111
2010-09-30,52.18,52.380001,51.619999,51.779999,14200,45.392645
2010-10-01,52.099998,52.099998,51.830002,51.860001,3700,45.462778
2010-10-04,52.009998,52.009998,51.889999,51.889999,3100,45.489076
2010-10-05,52.5,52.900002,52.5,52.849998,2600,46.330654
2010-10-06,52.84,52.84,52.66,52.66,400,46.164093
2010-10-07,52.759998,52.759998,52.759998,52.759998,2000,46.251756
2010-10-08,52.900002,53.049999,52.900002,53.049999,1400,46.505983
2010-10-11,53.040001,53.09,52.919998,52.919998,2900,46.392019
2010-10-12,53.009998,53.34,52.740002,53.310001,3500,46.733913
2010-10-13,53.360001,53.630001,53.360001,53.560001,12800,46.953074
2010-10-14,53.189999,53.34,52.880001,52.959999,13500,46.427085
2010-10-15,53.41,53.41,52.709999,52.84,9100,46.321889
2010-10-18,53.119999,53.299999,53.119999,53.299999,1000,46.725144
2010-10-19,53,53.060001,52.389999,52.389999,3300,45.927398
2010-10-20,52.73,53.279999,52.73,53.279999,8700,46.707611
2010-10-21,53.52,53.529999,53.040001,53.240002,10400,46.672548
2010-10-22,53.189999,53.27,53.189999,53.23,2900,46.66378
2010-10-25,53.619999,53.619999,53.32,53.32,5200,46.742678
2010-10-26,53.25,53.25,53.25,53.25,1500,46.681313
2010-10-27,53.25,53.25,53.25,53.25,0,46.681313
2010-10-28,53.169998,53.169998,53.16,53.16,3000,46.602415
2010-10-29,53.16,53.16,53.16,53.16,1200,46.602415
2010-11-01,53.240002,53.240002,53.200001,53.200001,1900,46.637481
2010-11-02,53.34,53.34,53.34,53.34,200,46.760211
2010-11-03,53.470001,53.610001,53.279999,53.610001,19700,46.996905
2010-11-04,54.439999,54.459999,54.439999,54.450001,500,47.733287
2010-11-05,54.970001,55.240002,54.869999,55.060001,24600,48.26804
2010-11-08,55.040001,55.040001,54.880001,54.900002,2100,48.127777
2010-11-09,54.889999,54.889999,54.470001,54.490002,24900,47.768353
2010-11-10,54.130001,54.599998,54.130001,54.599998,2400,47.864781
2010-11-11,54.32,54.32,54.32,54.32,800,47.619322
2010-11-12,54.27,54.27,53.790001,53.84,2700,47.198533
2010-11-15,54.200001,54.380001,53.950001,53.950001,2300,47.294965
2010-11-16,53.09,53.09,53.040001,53.040001,1000,46.497218
2010-11-17,53.18,53.220001,53.049999,53.049999,2400,46.505983
2010-11-18,53.619999,53.950001,53.619999,53.889999,3700,47.242365
2010-11-19,53.869999,53.869999,53.869999,53.869999,300,47.224831
2010-11-22,53.220001,53.220001,53.220001,53.220001,1500,46.655015
2010-11-23,53,53,52.889999,52.889999,700,46.36572
2010-11-24,53.299999,53.5,53.299999,53.5,7700,46.900474
2010-11-26,53.5,53.5,53.5,53.5,0,46.900474
2010-11-29,52.68,52.84,52.68,52.790001,5000,46.278057
2010-11-30,52.759998,53.09,52.73,53.09,22200,46.54105
2010-12-01,53.639999,54,53.619999,54,48000,47.338796
2010-12-02,54.68,54.68,54.68,54.68,1500,47.934915
2010-12-03,54.610001,54.77,54.610001,54.77,1400,48.013813
2010-12-06,54.91,54.98,54.82,54.869999,17100,48.101476
2010-12-07,55.380001,55.380001,55.130001,55.130001,10500,48.329405
2010-12-08,55.130001,55.209999,54.889999,55.209999,2900,48.399535
2010-12-09,55.209999,55.209999,55.209999,55.209999,0,48.399535
2010-12-10,55.889999,55.889999,55.889999,55.889999,1000,48.995653
2010-12-13,56.450001,56.450001,56.139999,56.200001,9800,49.267414
2010-12-14,56.200001,56.200001,56.080002,56.080002,900,49.162218
2010-12-15,56.040001,56.040001,56.040001,56.040001,300,49.127151
2010-12-16,55.759998,56.200001,55.759998,56.150002,22100,49.223583
2010-12-17,56.040001,56.220001,56.009998,56.220001,3900,49.284948
2010-12-20,56.23,56.450001,56.110001,56.41,6500,49.451509
2010-12-21,56.650002,56.830002,56.650002,56.799999,25100,49.7934
2010-12-22,57.060001,57.080002,57.060001,57.080002,2300,50.038862
2010-12-23,57.060001,57.060001,56.959999,56.959999,500,49.933663
2010-12-27,56.639999,56.75,56.639999,56.75,1000,50.083694
2010-12-28,56.830002,56.830002,56.759998,56.759998,4300,50.092518
2010-12-29,56.959999,56.959999,56.959999,56.959999,800,50.269025
2010-12-30,57.029999,57.029999,56.75,56.779999,11200,50.110169
2010-12-31,56.73,56.73,56.73,56.73,200,50.066043
2011-01-03,57.509998,57.700001,57.400002,57.610001,10400,50.842673
2011-01-04,57.91,57.91,57.52,57.57,5400,50.80737
2011-01-05,57.540001,57.959999,57.459999,57.880001,75000,51.080957
2011-01-06,58.16,58.16,57.709999,57.709999,3100,50.930924
2011-01-07,57.900002,57.900002,57.509998,57.68,3200,50.904449
2011-01-10,57.32,57.619999,57.32,57.619999,2400,50.851496
2011-01-11,57.849998,57.919998,57.68,57.73,4400,50.948575
2011-01-12,58.18,58.18,58.16,58.16,1700,51.328064
2011-01-13,58.259998,58.27,58.23,58.240002,2100,51.398669
2011-01-14,58.82,58.82,58.82,58.82,1500,51.910536
2011-01-18,58.799999,58.880001,58.669998,58.810001,32100,51.901712
2011-01-19,58.720001,58.740002,57.990002,57.990002,7500,51.178036
2011-01-20,57.959999,58.23,57.779999,58.18,37700,51.345716
2011-01-21,58.630001,58.669998,58.490002,58.650002,10000,51.760507
2011-01-24,58.599998,58.869999,58.599998,58.790001,4500,51.884061
2011-01-25,58.799999,58.830002,58.470001,58.759998,8500,51.857582
2011-01-26,58.939999,59.060001,58.900002,59.060001,11300,52.122345
2011-01-27,58.959999,59.200001,58.959999,59.18,6900,52.228248
2011-01-28,59.259998,59.330002,58.240002,58.240002,44500,51.398669
2011-01-31,58.450001,58.720001,58.41,58.66,3500,51.769331
2011-02-01,59.310001,59.740002,59.310001,59.740002,3900,52.722467
2011-02-02,59.68,59.799999,59.560001,59.560001,6600,52.563611
2011-02-03,59.529999,59.57,59.470001,59.57,6900,52.572435
2011-02-04,59.810001,59.82,59.419998,59.82,2900,52.793068
2011-02-07,59.970001,60.369999,59.970001,60.279999,13300,53.199032
2011-02-08,60.130001,60.400002,60.130001,60.400002,4100,53.304938
2011-02-09,60.349998,60.349998,60.029999,60.09,2400,53.031352
2011-02-10,59.919998,60.259998,59.919998,60.259998,3600,53.18138
2011-02-11,60.57,60.700001,60.57,60.639999,3300,53.516744
2011-02-14,60.650002,60.84,60.650002,60.810001,2600,53.666776
2011-02-15,60.650002,60.650002,60.5,60.509998,800,53.402013
2011-02-16,61.02,61.02,60.880001,60.98,6600,53.816805
2011-02-17,61.119999,61.369999,61.119999,61.369999,28500,54.160992
2011-02-18,61.220001,61.450001,61.220001,61.34,11000,54.134517
2011-02-22,60.799999,60.990002,60.119999,60.23,7300,53.154906
2011-02-23,60.32,60.41,59.889999,60.029999,5800,52.978398
2011-02-24,60,60,59.360001,59.360001,4500,52.387104
2011-02-25,60.290001,60.41,60.290001,60.389999,3700,53.296111
2011-02-28,60.759998,60.82,60.66,60.82,4800,53.6756
2011-03-01,61.130001,61.130001,59.880001,59.93,8700,52.890147
2011-03-02,60.029999,60.099998,59.73,59.84,12000,52.810719
2011-03-03,60.48,60.93,60.48,60.93,3400,53.772679
2011-03-04,60.849998,60.849998,59.959999,60.360001,15100,53.269636
2011-03-07,60.75,60.75,59.810001,59.91,16800,52.872496
2011-03-08,60.080002,60.689999,59.869999,60.689999,25700,53.56087
2011-03-09,60.25,60.689999,60.25,60.580002,7000,53.463794
2011-03-10,59.970001,59.970001,59.439999,59.439999,19800,52.457704
2011-03-11,59.119999,59.509998,59.119999,59.509998,1900,52.519481
2011-03-14,59.27,59.360001,59.119999,59.360001,3300,52.387104
2011-03-15,57.68,58.990002,57.68,58.82,24600,51.910536
2011-03-16,58.689999,58.689999,57.360001,57.720001,64300,50.939752
2011-03-17,58.540001,58.619999,58.25,58.25,39600,51.407493
2011-03-18,59.360001,59.360001,58.849998,58.93,13800,52.007615
2011-03-21,59.650002,59.82,59.650002,59.669998,2100,52.660686
2011-03-22,59.59,59.59,59.470001,59.470001,6600,52.484183
2011-03-23,59.349998,59.68,58.990002,59.599998,60000,52.598909
2011-03-24,59.959999,60.060001,59.540001,59.970001,24900,52.925449
2011-03-25,59.900002,60.240002,59.900002,60.080002,29400,53.169705
2011-03-28,60.119999,60.259998,60.040001,60.040001,5600,53.134305
2011-03-29,59.82,60.189999,59.619999,60.169998,13300,53.24935
2011-03-30,60.619999,60.84,60.509998,60.810001,9900,53.815742
2011-03-31,60.650002,60.700001,60.580002,60.619999,6500,53.647593
2011-04-01,61.060001,61.060001,60.970001,60.970001,1400,53.957338
2011-04-04,61.060001,61.080002,60.82,60.849998,4200,53.851138
2011-04-05,60.939999,61.099998,60.939999,61.099998,2900,54.072384
2011-04-06,61.189999,61.259998,61.040001,61.259998,4500,54.213981
2011-04-07,61.209999,61.32,60.84,61.07,22800,54.045835
2011-04-08,60.98,60.98,60.66,60.860001,21300,53.85999
2011-04-11,60.98,60.990002,60.650002,60.650002,51100,53.674145
2011-04-12,60.139999,60.27,59.970001,59.970001,700,53.072357
2011-04-13,60.419998,60.419998,60.02,60.02,1000,53.116605
2011-04-14,59.860001,59.91,59.860001,59.91,800,53.019257
2011-04-15,60.169998,60.330002,60.139999,60.330002,400,53.390951
2011-04-18,59.349998,59.43,59.27,59.43,7600,52.594466
2011-04-19,59.720001,59.830002,59.540001,59.830002,2200,52.94846
2011-04-20,60.639999,60.639999,60.529999,60.529999,1000,53.567944
2011-04-21,60.700001,60.700001,60.59,60.599998,1600,53.629893
2011-04-25,60.599998,60.66,60.59,60.59,1200,53.621044
2011-04-26,60.849998,61.23,60.849998,61.209999,1500,54.169732
2011-04-27,61.169998,61.650002,61.169998,61.650002,2800,54.559126
2011-04-28,61.669998,61.669998,61.669998,61.669998,300,54.576823
