"Index","open","high","low","close","volume","adjusted"
2006-08-25,50.900002,50.98,50.900002,50.98,3400,47.821055
2006-08-28,50.860001,51.200001,50.860001,51.200001,200,48.027424
2006-08-29,50.990002,50.990002,50.950001,50.950001,11700,47.792915
2006-08-30,51.549999,51.599998,51.549999,51.599998,3900,48.402636
2006-08-31,51.610001,51.709999,51.57,51.689999,7100,48.487059
2006-09-01,51.900002,52.119999,51.900002,52.119999,500,48.890415
2006-09-05,52.049999,52.200001,52.049999,52.18,1700,48.946698
2006-09-06,51.970001,51.970001,51.57,51.57,1100,48.374496
2006-09-07,51.32,51.32,51.029999,51.09,900,47.924239
2006-09-08,51.200001,51.200001,51,51,9800,47.839816
2006-09-11,50.75,51.150002,50.75,51.150002,1300,47.980523
2006-09-12,51.349998,51.950001,51.349998,51.950001,2300,48.730951
2006-09-13,52.150002,52.459999,52.029999,52.459999,1200,49.209347
2006-09-14,52.310001,52.310001,52.27,52.27,400,49.031122
2006-09-15,52.529999,52.529999,52.290001,52.290001,1000,49.049883
2006-09-18,52.48,52.970001,52.349998,52.450001,35500,49.199968
2006-09-19,53.259998,53.259998,51.919998,51.919998,2100,48.702807
2006-09-20,52.5,52.689999,52.5,52.5,1300,49.246869
2006-09-21,52.689999,52.689999,52.189999,52.220001,900,48.984221
2006-09-22,52.009998,52.009998,51.619999,51.66,700,48.458919
2006-09-25,51.700001,51.790001,51.41,51.790001,500,48.580865
2006-09-26,52.369999,52.639999,52.369999,52.630001,2200,49.368815
2006-09-27,52.75,52.849998,52.689999,52.689999,6600,49.425095
2006-09-28,52.900002,52.900002,52.630001,52.630001,11700,49.368815
2006-09-29,52.810001,52.810001,52.540001,52.560001,12300,49.303153
2006-10-02,52.450001,52.57,52.18,52.18,1600,48.946698
2006-10-03,51.759998,52.16,51.73,51.799999,18700,48.590244
2006-10-04,51.900002,52.650002,51.900002,52.619999,3900,49.359433
2006-10-05,52.98,53.360001,52.849998,53.310001,12100,50.00668
2006-10-06,52.880001,53.130001,52.810001,52.950001,14200,49.668986
2006-10-09,52.98,53.310001,52.970001,53.09,3400,49.800311
2006-10-10,53.18,53.330002,53.18,53.290001,1000,49.987918
2006-10-11,53.060001,53.240002,53.029999,53.029999,1800,49.744027
2006-10-12,53.389999,53.790001,53.389999,53.790001,2300,50.456936
2006-10-13,53.790001,54.080002,53.790001,53.91,16200,50.569499
2006-10-16,54.099998,54.48,54.099998,54.43,11600,51.057278
2006-10-17,54.029999,54.029999,53.75,53.919998,12400,50.578878
2006-10-18,54.23,54.23,53.66,53.740002,12800,50.410035
2006-10-19,54.049999,54.060001,53.939999,54.049999,10700,50.700824
2006-10-20,53.830002,53.830002,53.689999,53.689999,10800,50.36313
2006-10-23,53.650002,54.029999,53.650002,53.900002,10800,50.560121
2006-10-24,53.950001,54.110001,53.91,54.080002,11300,50.728967
2006-10-25,54,54.299999,54,54.299999,2200,50.935333
2006-10-26,54.59,54.59,54.369999,54.529999,1000,51.151081
2006-10-27,54.73,54.73,54.360001,54.360001,3400,50.991616
2006-10-30,54.279999,54.48,54.139999,54.349998,11400,50.982234
2006-10-31,54.349998,54.360001,54.09,54.09,4000,50.738346
2006-11-01,54.41,54.41,53.439999,53.459999,15200,50.147383
2006-11-02,53.290001,53.560001,53.290001,53.450001,11900,50.138004
2006-11-03,53.689999,53.689999,53.389999,53.529999,13300,50.213045
2006-11-06,53.810001,54.419998,53.810001,54.310001,9900,50.944715
2006-11-07,54.41,54.689999,54.41,54.459999,17100,51.085418
2006-11-08,54.380001,54.779999,54.380001,54.700001,16600,51.310548
2006-11-09,54.82,54.950001,54.380001,54.389999,16500,51.019756
2006-11-10,54.48,54.52,54.34,54.5,16900,51.122941
2006-11-13,54.639999,54.84,54.639999,54.759998,23800,51.366828
2006-11-14,54.869999,55.25,54.700001,55.25,22400,51.826467
2006-11-15,55.439999,55.849998,55.349998,55.619999,29600,52.173539
2006-11-16,55.740002,55.740002,55.549999,55.580002,3600,52.136021
2006-11-17,55.349998,55.5,55.290001,55.5,2000,52.060976
2006-11-20,55.43,55.68,55.43,55.57,6100,52.126638
2006-11-21,55.700001,55.860001,55.700001,55.860001,2000,52.39867
2006-11-22,56.16,56.299999,56,56.299999,6500,52.811404
2006-11-24,56.080002,56.310001,56.080002,56.299999,3400,52.811404
2006-11-27,56.209999,56.209999,55.209999,55.209999,13500,51.788945
