"Index","open","high","low","close","volume","adjusted"
2001-06-15,110.849998,112.010002,110.349998,111.330002,1067400,41.885315
2001-06-18,111.629997,111.830002,110.620003,110.620003,282600,41.618195
2001-06-19,112.300003,112.330002,110.470001,110.93,1777600,41.734824
2001-06-20,110.75,112.150002,110.75,112.099998,476000,42.175008
2001-06-21,112,113.449997,111.75,113,240400,42.513613
2001-06-22,112.900002,112.900002,111.75,112.279999,180600,42.242729
2001-06-25,112.199997,112.379997,110.779999,111.279999,30400,41.971168
2001-06-26,110.099998,111.550003,110.059998,110.989998,146600,41.861789
2001-06-27,111.199997,111.68,110.470001,111,114000,41.865562
2001-06-28,111.800003,113.379997,111.800003,112.360001,357400,42.37851
2001-06-29,112.050003,113.620003,111.910004,113,215000,42.619896
2001-07-02,112.599998,113.940002,112.599998,113.300003,290000,42.733048
2001-07-03,113.150002,113.349998,112.830002,113.239998,56800,42.710416
2001-07-05,112.889999,112.940002,111.949997,111.949997,627600,42.22387
2001-07-06,111,111.080002,109,109,777000,41.111228
2001-07-09,109.43,110.199997,109.300003,109.699997,850000,41.375243
2001-07-10,110.260002,110.309998,108.25,108.25,218000,40.828352
2001-07-11,108.449997,108.519997,107.260002,108.389999,47200,40.881155
2001-07-12,109.449997,111.089996,109.440002,110.959999,64800,41.850475
2001-07-13,110.400002,111.739998,110.300003,111.489998,430000,42.050373
2001-07-16,111.550003,111.550003,110.080002,110.199997,46400,41.563827
2001-07-17,110,111.5,109.739998,111.5,183400,42.054146
2001-07-18,110.550003,111.089996,109.910004,110.339996,54400,41.61663
2001-07-19,111.75,112.239998,110.5,110.959999,18600,41.850475
2001-07-20,111,111.290001,110.5,110.970001,11600,41.854247
2001-07-23,111.25,111.389999,109.050003,109.050003,52000,41.130087
2001-07-24,108.669998,109.040001,106.800003,107.540001,102400,40.560564
2001-07-25,107.699997,108.940002,107.459999,108.900002,519200,41.073511
2001-07-26,108.68,110.290001,108.389999,110.290001,65000,41.597774
2001-07-27,110.370003,110.839996,109.739998,110.480003,208000,41.669436
2001-07-30,110.800003,110.800003,109.910004,110.389999,25600,41.63549
2001-07-31,110.5,111.839996,110.410004,110.839996,119200,41.805214
2001-08-01,111.199997,111.940002,110.949997,111.32,237400,41.986255
2001-08-02,112.349998,112.400002,111.25,111.669998,62200,42.118263
2001-08-03,111.599998,111.599998,110.540001,111.279999,17600,41.971168
2001-08-06,111.199997,111.199997,109.82,110,30400,41.488395
2001-08-07,109.900002,110.339996,109.800003,110.199997,29200,41.563827
2001-08-08,109.849998,110.440002,108.099998,108.199997,54400,40.809493
2001-08-09,108.089996,108.519997,107.610001,108.519997,56200,40.930186
2001-08-10,108.599998,109.25,107.150002,108.959999,114200,41.09614
2001-08-13,109.239998,109.459999,108.720001,109.150002,34200,41.167803
2001-08-14,109.550003,109.900002,108.709999,108.910004,38600,41.077284
2001-08-15,109.389999,109.389999,107.970001,107.970001,49800,40.722746
2001-08-16,107.889999,108.300003,107.099998,108.300003,42800,40.847212
2001-08-17,107.720001,107.800003,106.339996,106.650002,84600,40.224885
2001-08-20,106.75,107.449997,106.699997,107.400002,71800,40.507761
2001-08-21,107.599998,108.300003,105.900002,105.900002,69800,39.94201
2001-08-22,106.580002,107.150002,105.720001,106.879997,326800,40.311632
2001-08-23,106.900002,107.07,106.5,106.739998,31000,40.258829
2001-08-24,107,108.690002,106.809998,108.690002,52400,40.994307
2001-08-27,108.400002,108.699997,108,108.300003,75600,40.847212
2001-08-28,108.150002,108.150002,106.489998,106.489998,61600,40.164537
2001-08-29,106.949997,106.949997,105.300003,105.489998,90000,39.78737
2001-08-30,105.25,105.639999,103.410004,103.910004,111800,39.191448
2001-08-31,104.150002,105.120003,103.830002,104.349998,69800,39.357399
2001-09-04,104.339996,106.07,103.800003,103.800003,71600,39.149959
2001-09-05,103.849998,104.120003,102.519997,103.650002,45800,39.093383
2001-09-06,103.410004,103.410004,101.550003,101.550003,90600,38.301333
2001-09-07,101.040001,101.68,99.5,99.5,133200,37.528139
2001-09-10,99.300003,100.599998,98.75,100.25,75200,37.811014
2001-09-17,94.25,97.099998,94.25,95.489998,410000,36.015697
2001-09-18,95.449997,96,94.150002,94.269997,318400,35.555553
2001-09-19,94.5,95.050003,90.199997,93,257200,35.076552
2001-09-20,91.5,91.900002,90,90,218200,33.94505
2001-09-21,87,90,86.800003,88.550003,223200,33.398159
2001-09-24,91,91.949997,90.260002,91.389999,578000,34.592369
2001-09-25,91.949997,92.639999,91,92.25,190000,34.917891
2001-09-26,92.849998,92.849998,91.269997,91.540001,244200,34.649147
2001-09-27,91.599998,92.889999,90.760002,92.449997,406200,34.993593
2001-09-28,93.349998,94.949997,93.349998,94.949997,365800,35.939877
2001-10-01,94.199997,94.599998,93.309998,94.089996,922000,35.614355
2001-10-02,94.050003,95.339996,94,95.25,983400,36.053432
2001-10-03,94.349998,97.800003,94.349998,96.93,722600,36.689335
2001-10-04,98.190002,98.980003,97.25,97.25,579000,36.81046
2001-10-05,97.25,97.550003,95.93,97.300003,338000,36.829386
2001-10-08,96.449997,97.290001,96.309998,96.650002,726800,36.583352
2001-10-09,96.599998,96.650002,95.910004,96.010002,466400,36.341103
