"Index","open","high","low","close","volume","adjusted"
2004-01-30,49.450001,49.450001,49.25,49.25,13200,35.073507
2004-02-02,49.419998,49.759998,49.25,49.41,2900,35.187451
2004-02-03,49.52,49.52,49.400002,49.400002,3800,35.180331
2004-02-04,49.299999,49.299999,49.029999,49.189999,181800,35.030777
2004-02-05,49.119999,49.290001,49.09,49.189999,3100,35.030777
2004-02-06,49.32,49.68,49.32,49.68,7300,35.379733
2004-02-09,49.799999,49.849998,49.66,49.66,11100,35.365489
2004-02-10,49.599998,49.830002,49.599998,49.759998,1800,35.436703
2004-02-11,50,50.59,49.91,50.59,5000,36.027791
2004-02-12,50.459999,50.540001,50.369999,50.389999,15600,35.88536
2004-02-13,50.310001,50.310001,50.16,50.189999,8200,35.742929
2004-02-17,50.5,50.560001,50.48,50.560001,3300,36.006427
2004-02-18,50.5,50.540001,50.349998,50.349998,1000,35.856873
2004-02-19,50.619999,50.630001,50.490002,50.529999,7200,35.985061
2004-02-20,50.400002,50.400002,49.759998,50.139999,5100,35.707322
2004-02-23,50.189999,50.189999,50,50.099998,11200,35.678835
2004-02-24,49.990002,50.139999,49.799999,49.799999,6400,35.46519
2004-02-25,50.049999,50.18,50,50.18,2600,35.735809
2004-02-26,50.18,50.299999,50.080002,50.240002,2000,35.778539
2004-02-27,50.400002,50.529999,50.360001,50.529999,129700,35.985061
2004-03-01,50.75,50.939999,50.709999,50.939999,3600,36.277043
2004-03-02,50.849998,50.849998,50.650002,50.720001,3300,36.120372
2004-03-03,50.619999,50.790001,50.5,50.720001,21800,36.120372
2004-03-04,50.82,50.84,50.790001,50.830002,5200,36.198709
2004-03-05,51.080002,51.209999,50.98,51.150002,3300,36.426597
2004-03-08,51.25,51.25,50.900002,50.900002,6300,36.248559
2004-03-09,50.720001,50.720001,50.369999,50.509998,4200,35.970818
2004-03-10,50.450001,50.450001,49.73,49.73,1500,35.41534
2004-03-11,49.400002,49.610001,48.939999,48.939999,7600,34.852739
2004-03-12,49.099998,49.400002,49.080002,49.259998,5800,35.080627
2004-03-15,49.209999,49.209999,48.779999,48.779999,11200,34.738794
