"Index","open","high","low","close","volume","adjusted"
2004-01-30,49.459999,49.459999,49.34,49.450001,117500,38.60855
2004-02-02,49.619999,49.950001,49.439999,49.5,6600,38.647587
2004-02-03,49.619999,49.709999,49.610001,49.66,5800,38.772508
2004-02-04,49.450001,49.5,49.200001,49.330002,4400,38.514859
2004-02-05,49.360001,49.450001,49.150002,49.380001,7500,38.553897
2004-02-06,49.349998,49.950001,49.349998,49.950001,23600,38.998929
2004-02-09,49.950001,50.009998,49.880001,49.880001,7000,38.944276
2004-02-10,49.849998,50.119999,49.849998,50.09,23700,39.108235
2004-02-11,50.080002,50.66,49.990002,50.639999,96400,39.537652
2004-02-12,50.560001,50.610001,50.400002,50.419998,405200,39.365884
2004-02-13,50.549999,50.610001,50.099998,50.130001,203600,39.139466
2004-02-17,50.57,50.650002,50.509998,50.650002,4900,39.545461
2004-02-18,50.650002,50.650002,50.400002,50.470001,8500,39.404925
2004-02-19,50.75,50.75,50.5,50.5,2800,39.428346
2004-02-20,50,50.040001,49.880001,50.040001,3000,39.069198
2004-02-23,50.200001,50.200001,49.75,49.82,5800,38.89743
2004-02-24,49.84,50.02,49.709999,49.830002,3500,38.905239
2004-02-25,49.900002,49.990002,49.830002,49.990002,2500,39.03016
2004-02-26,49.880001,50.080002,49.880001,50.080002,6200,39.100429
2004-02-27,50.200001,50.330002,50.18,50.18,2800,39.178504
2004-03-01,50.389999,50.66,50.34,50.66,2400,39.553268
2004-03-02,50.650002,50.650002,50.389999,50.490002,2200,39.42054
2004-03-03,50.169998,50.330002,50.169998,50.330002,1300,39.295619
2004-03-04,50.5,50.630001,50.450001,50.59,11700,39.498615
2004-03-05,50.400002,50.919998,50.400002,50.799999,2600,39.662574
2004-03-08,50.790001,50.790001,50.43,50.43,6700,39.373693
2004-03-09,50.150002,50.150002,50,50.07,8400,39.09262
2004-03-10,50.049999,50.049999,49.299999,49.360001,6600,38.538281
2004-03-11,49.330002,49.349998,48.75,48.790001,3700,38.093249
2004-03-12,48.860001,49.110001,48.790001,49,3400,38.257207
2004-03-15,49.049999,49.049999,48.43,48.450001,14000,37.82779
