"Index","open","high","low","close","volume","adjusted"
2002-01-04,61.700001,62.290001,61.650002,62.23,111200,25.270399
2002-01-07,62.040001,62.27,61.75,61.93,116000,25.148576
2002-01-08,61.650002,61.720001,61.380001,61.59,2200,25.010508
2002-01-09,62.220001,62.369999,61.5,61.700001,25000,25.055177
2002-01-10,61.700001,61.700001,61.349998,61.5,9000,24.973961
2002-01-11,61.5,61.5,61.25,61.330002,6200,24.904928
2002-01-14,61.150002,61.150002,60.009998,60.009998,15600,24.3689
2002-01-15,60.209999,60.349998,60,60.150002,6000,24.425753
2002-01-16,60.200001,60.200001,59.5,59.5,8800,24.161799
2002-01-17,59.919998,59.919998,59.400002,59.400002,3800,24.121192
2002-01-18,59.450001,59.830002,59.450001,59.52,1800,24.169921
2002-01-22,60,60,58.77,58.919998,8000,23.926272
2002-01-23,58.75,59.040001,58.75,59.040001,13200,23.975003
2002-01-24,60.09,60.220001,60.09,60.200001,1600,24.446056
2002-01-25,59.950001,60.150002,59.950001,59.950001,89800,24.344536
2002-01-28,60,60,59.869999,59.869999,400,24.312049
2002-01-29,60.119999,60.119999,59,59.299999,7200,24.080583
2002-01-30,59.200001,59.349998,58.43,59.349998,5000,24.100887
2002-01-31,59.790001,59.939999,59.790001,59.939999,3400,24.340474
2002-02-01,60.119999,60.119999,59.599998,59.970001,5600,24.352658
2002-02-04,59.779999,59.779999,58.419998,58.509998,20000,23.759779
2002-02-05,58.5,58.5,57.900002,58.150002,11000,23.613591
2002-02-06,57.849998,57.849998,57.189999,57.189999,9400,23.223753
2002-02-07,57.5,57.560001,57.099998,57.099998,4400,23.187205
2002-02-08,57.650002,57.84,57.549999,57.84,4400,23.487706
2002-02-11,58.400002,58.900002,58.299999,58.900002,2000,23.918152
2002-02-12,58.549999,59,58.5,58.720001,3200,23.845057
2002-02-13,59.150002,59.27,59.139999,59.27,10000,24.068401
2002-02-14,59.549999,59.549999,59.099998,59.16,3000,24.023732
2002-02-15,59.049999,59.049999,58.349998,58.349998,6000,23.694806
2002-02-19,58.110001,58.110001,57.25,57.25,3000,23.248118
2002-02-20,57.5,57.549999,56.849998,57.549999,16000,23.369942
2002-02-21,57.950001,57.950001,57.099998,57.200001,4200,23.227814
2002-02-22,57.200001,57.25,56.900002,57.25,8000,23.248118
2002-02-25,57.849998,58.200001,57.849998,58.18,1600,23.625773
2002-02-26,58.5,58.599998,57.900002,58.599998,9400,23.796326
2002-02-27,59,59.09,58.380001,58.599998,5800,23.796326
