"Index","open","high","low","close","volume","adjusted"
2006-11-16,50.509998,50.57,50.459999,50.459999,31200,37.264354
2006-11-17,50.599998,50.599998,50.259998,50.540001,46000,37.323435
2006-11-20,50.689999,50.689999,50.5,50.560001,17300,37.338205
2006-11-21,50.740002,50.740002,50.450001,50.5,9900,37.293895
2006-11-22,50.599998,50.599998,50.450001,50.509998,14700,37.301278
2006-11-24,50.599998,50.599998,50.380001,50.43,4000,37.2422
2006-11-27,50.290001,50.290001,49.82,49.900002,13000,36.8508
2006-11-28,49.889999,50.07,49.889999,50.049999,4100,36.961572
2006-11-29,50.25,50.59,50.25,50.59,16300,37.360359
2006-11-30,50.66,50.77,50.369999,50.68,20300,37.426824
2006-12-01,50.73,50.73,50.25,50.380001,8400,37.205276
2006-12-04,50.599998,50.849998,50.599998,50.849998,2200,37.552366
2006-12-05,50.990002,51.060001,50.939999,51.060001,16700,37.707452
2006-12-06,51.049999,51.07,50.98,50.98,5000,37.648371
2006-12-07,50.98,50.990002,50.880001,50.889999,5200,37.581907
2006-12-08,50.849998,51.060001,50.740002,51,5100,37.663141
2006-12-11,50.990002,51.119999,50.98,51.049999,5100,37.700065
2006-12-12,51.09,51.189999,50.93,51.18,6800,37.79607
2006-12-13,51.380001,51.380001,51.25,51.310001,8900,37.892075
2006-12-14,51.419998,51.779999,51.380001,51.779999,19500,38.239165
2006-12-15,51.900002,51.950001,51.830002,51.849998,45100,38.290859
2006-12-18,51.959999,51.959999,51.73,51.75,8900,38.217011
2006-12-19,51.720001,51.919998,51.689999,51.919998,2700,38.342553
2006-12-20,51.98,52.029999,51.880001,51.889999,5500,38.3204
2006-12-21,51.869999,51.919998,51.700001,51.73,3000,38.202241
2006-12-22,51.639999,51.639999,51.360001,51.369999,3900,38.065154
2006-12-26,51.349998,51.68,51.349998,51.68,5700,38.294865
2006-12-27,51.900002,52.060001,51.869999,52.040001,9900,38.561625
2006-12-28,52.080002,52.080002,51.919998,52.049999,10500,38.569034
2006-12-29,51.950001,51.970001,51.669998,51.709999,13900,38.317094
2007-01-03,51.959999,52.09,51.470001,51.720001,35000,38.324505
2007-01-04,51.400002,51.700001,51.389999,51.59,11400,38.228175
2007-01-05,51.5,51.5,51.16,51.23,10500,37.961414
2007-01-08,51.189999,51.290001,51,51.240002,21800,37.968826
2007-01-09,51.240002,51.290001,51.029999,51.200001,34400,37.939185
2007-01-10,51.139999,51.18,50.93,51.139999,7600,37.894724
2007-01-11,51.259998,51.48,51.259998,51.330002,49600,38.035516
2007-01-12,51.380001,51.52,51.299999,51.5,54100,38.161484
2007-01-16,51.5,51.630001,51.400002,51.5,10900,38.161484
2007-01-17,51.560001,51.68,51.470001,51.529999,16600,38.183714
2007-01-18,51.68,51.68,51.52,51.540001,8200,38.191125
2007-01-19,51.639999,51.75,51.599998,51.720001,10400,38.324505
2007-01-22,51.790001,51.790001,51.470001,51.540001,23100,38.191125
2007-01-23,51.490002,51.75,51.459999,51.669998,10600,38.287453
2007-01-24,51.849998,52.080002,51.799999,52.080002,9900,38.591266
2007-01-25,52.060001,52.060001,51.48,51.509998,11200,38.168893
2007-01-26,51.630001,51.630001,51.299999,51.450001,3700,38.124435
2007-01-29,51.540001,51.66,51.450001,51.48,4600,38.146664
2007-01-30,51.59,51.66,51.5,51.66,9600,38.280044
2007-01-31,51.700001,52.459999,51.599998,52,31000,38.531984
2007-02-01,52.110001,52.34,52.07,52.34,20000,38.783924
2007-02-02,52.299999,52.419998,52.25,52.419998,6100,38.843203
2007-02-05,52.369999,52.439999,52.23,52.380001,15900,38.813565
2007-02-06,52.5,52.5,52.360001,52.439999,14800,38.858023
2007-02-07,52.490002,52.509998,52.290001,52.369999,12400,38.806153
2007-02-08,52.32,52.34,52.130001,52.34,23200,38.783924
2007-02-09,52.450001,52.450001,52,52.16,38000,38.650544
2007-02-12,52.169998,52.169998,51.98,52.049999,11300,38.569034
2007-02-13,52.220001,52.450001,52.220001,52.450001,9600,38.865435
2007-02-14,52.529999,52.830002,52.529999,52.790001,5900,39.117375
2007-02-15,52.779999,52.779999,52.689999,52.740002,109900,39.080325
2007-02-16,52.709999,52.709999,52.619999,52.689999,7200,39.043273
2007-02-20,52.610001,52.860001,52.57,52.790001,41500,39.117375
2007-02-21,52.669998,52.75,52.549999,52.639999,14800,39.006224
2007-02-22,52.66,52.669998,52.490002,52.599998,5400,38.976583
2007-02-23,52.650002,52.650002,52.34,52.48,8900,38.887664
2007-02-26,52.84,52.84,52.560001,52.599998,22100,38.976583
2007-02-27,52.32,52.32,50.900002,51.07,43600,37.842854
2007-02-28,51.080002,51.57,51,51.189999,119100,37.931774
2007-03-01,50.580002,51.240002,50.580002,51.07,18900,37.842854
2007-03-02,50.98,51,50.450001,50.450001,10300,37.383435
2007-03-05,50.310001,50.57,50,50,19400,37.049985
2007-03-06,50.459999,50.799999,50.299999,50.740002,10700,37.598326
2007-03-07,50.68,50.860001,50.580002,50.580002,13400,37.479766
2007-03-08,51.02,51.080002,50.950001,50.950001,9100,37.753935
2007-03-09,51.139999,51.139999,50.880001,51.040001,5100,37.820625
2007-03-12,50.98,51.130001,50.860001,51.029999,6500,37.813214
2007-03-13,50.84,50.939999,50.16,50.16,10800,37.168545
2007-03-14,50.389999,50.389999,49.82,50.360001,10100,37.316745
2007-03-15,50.43,50.700001,50.43,50.610001,4900,37.501995
2007-03-16,50.580002,50.75,50.290001,50.380001,8900,37.331566
2007-03-19,50.59,50.919998,50.580002,50.869999,6100,37.694654
2007-03-20,50.93,51.290001,50.919998,51.290001,4600,38.005875
2007-03-21,51.299999,51.950001,51.279999,51.950001,16900,38.494935
2007-03-22,52.200001,52.290001,52.110001,52.16,8100,38.650544
2007-03-23,52.150002,52.299999,52.130001,52.27,12600,38.732055
2007-03-26,51.810001,52.040001,51.59,52.040001,13800,38.760359
2007-03-27,51.860001,51.860001,51.720001,51.82,8000,38.596498
2007-03-28,51.68,51.68,51.380001,51.48,17000,38.34326
2007-03-29,51.77,51.77,51.57,51.689999,5900,38.499671
2007-03-30,51.73,51.880001,51.240002,51.560001,14300,38.402846
2007-04-02,51.720001,51.720001,51.5,51.650002,12800,38.46988
2007-04-03,51.93,52.18,51.93,51.970001,16600,38.708222
2007-04-04,52.110001,52.139999,52.02,52.110001,4400,38.812496
