"Index","open","high","low","close","volume","adjusted"
2014-08-27,25.02,25.059999,25.02,25.059999,3622800,24.944314
2014-08-28,25.129999,25.15,25.129999,25.139999,21200,25.023945
2014-08-29,25.18,25.18,25.139999,25.16,100500,25.043853
2014-09-02,25.190001,25.24,25.190001,25.23,43400,25.11353
2014-09-03,25.33,25.33,25.219999,25.24,52900,25.123484
2014-09-04,25.299999,25.299999,25.18,25.190001,10000,25.073715
2014-09-05,25.23,25.35,25.23,25.35,12500,25.232977
2014-09-08,25.379999,25.379999,25.25,25.32,83600,25.203114
2014-09-09,25.139999,25.200001,25.129999,25.15,21600,25.033899
2014-09-10,25.15,25.15,25.091999,25.124001,6900,25.00802
2014-09-11,25.09,25.16,25.09,25.139999,15200,25.023945
2014-09-12,25.110001,25.110001,25.049999,25.049999,1300,24.93436
2014-09-15,25.120001,25.120001,25.09,25.09,6800,24.974177
2014-09-16,25.16,25.177,25.110001,25.139999,12600,25.023945
2014-09-17,25.120001,25.120001,25.01,25.07,1600,24.954269
2014-09-18,25.15,25.18,25.15,25.18,300,25.063761
2014-09-19,25.030001,25.1,25.030001,25.1,3000,24.984131
2014-09-22,24.870001,24.870001,24.82,24.864,2200,24.74922
2014-09-23,24.85,24.85,24.808001,24.808001,2300,24.693479
2014-09-24,24.82,24.84,24.780001,24.84,12500,24.725331
2014-09-25,24.709999,24.709999,24.709999,24.709999,900,24.611783
2014-09-26,24.85,24.860001,24.809999,24.860001,7300,24.761189
2014-09-29,24.82,24.85,24.799999,24.84,23400,24.741268
2014-09-30,24.84,24.84,24.799999,24.799999,7900,24.701426
2014-10-01,24.65,24.67,24.549999,24.549999,9100,24.452419
2014-10-02,24.58,24.59,24.43,24.559999,7800,24.46238
2014-10-03,24.641001,24.690001,24.641001,24.690001,1500,24.591864
2014-10-06,24.700001,24.705999,24.67,24.700001,13100,24.601825
2014-10-07,24.549999,24.549999,24.389999,24.389999,9000,24.293056
