"Index","open","high","low","close","volume","adjusted"
2014-08-27,25.08,25.1,25.08,25.1,2979100,24.822457
2014-08-28,25.139999,25.15,25.139999,25.139999,26400,24.862014
2014-08-29,25.200001,25.200001,25.129999,25.15,41400,24.871904
2014-09-02,25.118,25.16,25.118,25.15,21400,24.871904
2014-09-03,25.24,25.24,25.111,25.111,32600,24.833335
2014-09-04,25.209999,25.209999,25.110001,25.120001,1600,24.842237
2014-09-05,25.09,25.15,25.07,25.15,8400,24.871904
2014-09-08,25.17,25.174999,25.040001,25.129999,81200,24.852124
2014-09-09,24.959999,25,24.959999,25,2000,24.723563
2014-09-10,24.93,24.93,24.9,24.92,6000,24.644447
2014-09-11,24.889999,25.01,24.889999,25,13600,24.723563
2014-09-12,24.780001,24.780001,24.780001,24.780001,1000,24.505996
2014-09-15,24.74,24.780001,24.67,24.74,4600,24.466437
2014-09-16,24.799999,24.82,24.77,24.77,4700,24.496106
2014-09-17,24.790001,24.790001,24.73,24.790001,4700,24.515886
2014-09-18,24.93,24.93,24.93,24.93,300,24.654337
2014-09-19,24.829,24.84,24.82,24.84,3600,24.565332
2014-09-22,24.65,24.65,24.629999,24.629999,2100,24.357653
2014-09-23,24.620001,24.629999,24.49,24.49,2600,24.219202
2014-09-24,24.461,24.620001,24.461,24.620001,4000,24.347765
2014-09-25,24.34,24.34,24.34,24.34,1000,24.10709
2014-09-26,24.370001,24.41,24.32,24.41,12700,24.176419
2014-09-29,24.34,24.389999,24.34,24.389999,22500,24.15661
2014-09-30,24.290001,24.290001,24.23,24.24,4100,24.008046
2014-10-01,23.98,24.040001,23.91,23.93,8000,23.701013
2014-10-02,23.940001,23.969999,23.940001,23.950001,3200,23.720822
2014-10-03,23.961,24.01,23.961,24.01,1600,23.780247
2014-10-06,23.93,23.93,23.9,23.91,5200,23.681204
2014-10-07,23.85,23.879999,23.75,23.75,7900,23.522735
2014-10-08,23.74,23.809999,23.74,23.809999,2900,23.58216
2014-10-09,23.92,23.92,23.92,23.92,1700,23.691108
2014-10-10,23.879999,23.889999,23.85,23.860001,3600,23.631683
2014-10-13,23.860001,23.879999,23.799999,23.83,11900,23.601969
2014-10-14,23.91,23.940001,23.889999,23.93,3700,23.701013
