"Index","open","high","low","close","volume","adjusted"
2014-08-27,25.15,25.15,25.15,25.15,3838900,24.615148
2014-08-28,25.17,25.209999,25.17,25.190001,30400,24.654298
2014-08-29,25.25,25.25,25.200001,25.219999,50800,24.683659
2014-09-02,25.209999,25.280001,25.209,25.25,24100,24.713022
2014-09-03,25.32,25.33,25.280001,25.299999,49100,24.761958
2014-09-04,25.35,25.35,25.26,25.26,13900,24.722809
2014-09-05,25.209999,25.280001,25.209999,25.280001,9000,24.742385
2014-09-08,25.18,25.209999,25.16,25.209999,90400,24.673872
2014-09-09,25.049999,25.09,24.99,24.99,3200,24.458551
2014-09-10,25.030001,25.030001,24.98,24.98,5700,24.448763
2014-09-11,24.99,25.049999,24.99,25.040001,11200,24.507489
2014-09-12,24.92,24.92,24.870001,24.870001,2300,24.341104
2014-09-15,24.860001,24.9,24.860001,24.879999,5000,24.35089
2014-09-16,24.969999,24.978001,24.92,24.92,4300,24.39004
2014-09-17,24.9,24.959999,24.9,24.93,3200,24.399827
2014-09-18,24.99,24.99,24.99,24.99,800,24.458551
2014-09-19,24.83,24.879999,24.83,24.879999,4400,24.35089
2014-09-22,24.749001,24.749001,24.67,24.68,3500,24.155144
2014-09-23,24.620001,24.620001,24.559999,24.559999,1700,24.037695
2014-09-24,24.610001,24.639999,24.59,24.639999,5700,24.115994
2014-09-25,24.450001,24.450001,24.43,24.43,1700,23.93669
2014-09-26,24.875,24.907,24.875,24.907,5400,24.404057
2014-09-29,24.83,24.83,24.799999,24.82,25400,24.318814
2014-09-30,24.75,24.75,24.690001,24.690001,9400,24.19144
2014-10-01,24.559999,24.559999,24.559999,24.559999,3800,24.064064
2014-10-02,24.559999,24.559999,24.540001,24.540001,2300,24.04447
2014-10-03,24.610001,24.629999,24.610001,24.620001,4000,24.122854
2014-10-06,24.559999,24.57,24.530001,24.556,8000,24.060145
2014-10-07,24.49,24.51,24.4,24.4,11400,23.907295
2014-10-08,24.42,24.440001,24.42,24.440001,4900,23.946488
2014-10-09,24.42,24.42,24.42,24.42,2200,23.926892
2014-10-10,24.370001,24.370001,24.35,24.357,5900,23.865164
2014-10-13,24.360001,24.360001,24.35,24.35,6300,23.858306
2014-10-14,24.389999,24.415001,24.389999,24.415001,3600,23.921994
2014-10-15,24.389999,24.43,24.379999,24.43,12400,23.93669
