"Index","open","high","low","close","volume","adjusted"
2014-08-27,24.98,24.98,24.959999,24.959999,4327500,24.619569
2014-08-28,24.940001,24.950001,24.93,24.93,28000,24.589979
2014-08-29,24.969999,24.98,24.93,24.940001,101000,24.599843
2014-09-02,24.83,24.889999,24.829,24.889999,49000,24.550524
2014-09-03,25,25,24.93,24.969999,63100,24.629433
2014-09-04,25.059999,25.09,24.969999,24.969999,5500,24.629433
2014-09-05,24.940001,25.07,24.940001,25.07,14600,24.728069
2014-09-08,25.07,25.09,25.01,25.09,98200,24.747797
2014-09-09,24.99,25.049999,24.99,25,4500,24.659024
2014-09-10,24.91,24.99,24.879999,24.99,10300,24.64916
2014-09-11,24.92,24.969999,24.92,24.959999,17600,24.619569
2014-09-12,24.92,24.93,24.76,24.76,9300,24.422298
2014-09-15,24.77,24.84,24.77,24.83,7500,24.491343
2014-09-16,24.965,24.965,24.91,24.92,12000,24.580115
2014-09-17,24.944,24.944,24.84,24.870001,2700,24.530798
2014-09-18,25,25.01,25,25.01,500,24.668888
2014-09-19,25.08,25.08,24.917999,24.969999,4200,24.629433
2014-09-22,24.879999,24.879999,24.719999,24.719999,2200,24.382842
2014-09-23,24.66,24.66,24.58,24.58,2800,24.244752
2014-09-24,24.67,24.68,24.65,24.677999,13500,24.341415
2014-09-25,24.549999,24.549999,24.469999,24.48,1500,24.146116
2014-09-26,24.52,24.629999,24.52,24.608,11200,24.27237
2014-09-29,24.51,24.549999,24.51,24.549999,27600,24.215161
2014-09-30,24.52,24.52,24.440001,24.469999,11100,24.136252
2014-10-01,24.27,24.309999,24.190001,24.190001,9100,23.860072
2014-10-02,24.120001,24.129999,24.120001,24.129999,2400,23.800889
2014-10-03,24.330999,24.370001,24.330999,24.365,4700,24.032685
2014-10-06,24.290001,24.34,24.290001,24.34,8700,24.008026
2014-10-07,24.139999,24.139999,23.98,23.98,5400,23.652936
2014-10-08,24.15,24.209999,24.15,24.209999,6100,23.879798
2014-10-09,24.059999,24.059999,24.059999,24.059999,2800,23.731844
2014-10-10,24.049999,24.059999,23.98,23.98,6200,23.652936
2014-10-13,23.870001,23.870001,23.84,23.84,6100,23.514846
2014-10-14,23.73,23.780001,23.709999,23.777,9100,23.452705
2014-10-15,23.57,23.57,23.48,23.48,11800,23.159755
2014-10-16,23.83,23.860001,23.83,23.837,5000,23.511886
2014-10-17,23.83,23.83,23.77,23.77,4300,23.445801
2014-10-20,23.82,23.860001,23.82,23.860001,3100,23.534573
2014-10-21,24.02,24.08,24.02,24.076,9100,23.747627
2014-10-22,24.09,24.120001,23.99,23.99,6800,23.662799
2014-10-23,24.110001,24.139,24.09,24.1,2400,23.7713
2014-10-24,24.09,24.16,24.08,24.16,12000,23.830481
2014-10-27,24.129999,24.139999,24.129999,24.139999,4300,23.810753
2014-10-28,24.120001,24.188,24.120001,24.18,4000,23.850208
2014-10-29,24.200001,24.209999,24.17,24.17,7500,23.840345
2014-10-30,24.42,24.426001,24.379999,24.426001,1900,24.092854
2014-10-31,24.620001,24.65,24.610001,24.629999,6900,24.29407
2014-11-03,24.610001,24.620001,24.59,24.617001,34000,24.281249
2014-11-04,24.440001,24.57,24.440001,24.57,64500,24.234889
2014-11-05,24.620001,24.66,24.57,24.66,14700,24.323661
2014-11-06,24.6,24.719999,24.6,24.690001,2500,24.353253
2014-11-07,24.65,24.690001,24.629999,24.639999,10400,24.303934
2014-11-10,24.799999,24.799999,24.790001,24.790001,2000,24.451889
2014-11-11,24.85,24.85,24.83,24.83,1100,24.491343
2014-11-12,24.91,24.92,24.889999,24.92,2600,24.580115
2014-11-13,25.08,25.110001,24.940001,25.040001,16300,24.69848
2014-11-14,24.993999,24.993999,24.950001,24.969999,7300,24.629433
2014-11-17,24.972,25.01,24.972,25,8000,24.659024
2014-11-18,25.27,25.32,25.23,25.32,8200,24.984653
