"Index","open","high","low","close","volume","adjusted"
2014-08-27,25.02,25.030001,25.02,25.030001,3561300,24.720539
2014-08-28,25.02,25.030001,25.02,25.02,32500,24.710663
2014-08-29,25.059999,25.07,25.02,25.02,62200,24.710663
2014-09-02,25.02,25.040001,24.969999,25.040001,23700,24.730416
2014-09-03,25.09,25.09,25.059999,25.059999,41700,24.750167
2014-09-04,25.139999,25.18,25.09,25.09,15000,24.779797
2014-09-05,25.07,25.200001,25.07,25.200001,8600,24.888438
2014-09-08,25.190001,25.219999,25.129999,25.190001,89500,24.878561
2014-09-09,25.07,25.129999,25.07,25.1,3000,24.789674
2014-09-10,25.02,25.02,24.99,24.99,7300,24.681033
2014-09-11,24.969999,25.02,24.959999,25,12600,24.69091
2014-09-12,24.82,24.82,24.82,24.82,1200,24.513135
2014-09-15,24.780001,24.85,24.77,24.85,6900,24.542765
2014-09-16,24.91,24.91,24.879999,24.879999,4100,24.572392
2014-09-17,24.83,24.83,24.790001,24.790001,3100,24.483507
2014-09-18,24.940001,24.940001,24.940001,24.940001,600,24.631652
2014-09-19,24.92,24.98,24.92,24.969999,3900,24.66128
2014-09-22,24.77,24.77,24.73,24.73,2000,24.424247
2014-09-23,24.67,24.67,24.638,24.638,1900,24.333386
2014-09-24,24.65,24.719999,24.620001,24.719999,2800,24.414371
2014-09-25,24.42,24.42,24.379999,24.41,1500,24.119913
2014-09-26,24.440001,24.549999,24.440001,24.549999,3700,24.258249
2014-09-29,24.440001,24.49,24.43,24.49,25700,24.198963
2014-09-30,24.489,24.489,24.43,24.43,4900,24.139676
2014-10-01,24.27,24.290001,24.16,24.16,7800,23.872884
2014-10-02,24.129999,24.129999,24.110001,24.110001,2500,23.823479
2014-10-03,24.23,24.26,24.23,24.26,2800,23.971696
2014-10-06,24.209999,24.25,24.209999,24.24,6300,23.951934
2014-10-07,24.110001,24.15,24,24,10200,23.714786
2014-10-08,24.01,24.049999,24.01,24.049999,4000,23.764191
2014-10-09,23.99,23.99,23.99,23.99,1800,23.704905
2014-10-10,23.940001,23.940001,23.879999,23.879999,5200,23.596211
2014-10-13,23.889999,23.889999,23.860001,23.860001,7400,23.57645
2014-10-14,23.85,23.862,23.82,23.862,3100,23.578426
2014-10-15,23.650999,23.650999,23.620001,23.629999,9000,23.349182
2014-10-16,23.860001,23.860001,23.804001,23.804001,5300,23.521116
2014-10-17,23.73,23.75,23.73,23.732,3800,23.449971
2014-10-20,23.74,23.74,23.68,23.719999,2900,23.438113
2014-10-21,23.799999,23.82,23.799999,23.82,8300,23.536925
2014-10-22,23.870001,23.870001,23.799999,23.809999,3600,23.527043
