"Index","open","high","low","close","volume","adjusted"
2014-08-27,25.059999,25.059999,25.059999,25.059999,4408500,24.700371
2014-08-28,25.059999,25.08,25.059999,25.08,38500,24.720084
2014-08-29,25.09,25.09,25.059999,25.07,49900,24.710227
2014-09-02,24.98,25.049999,24.98,25.049999,23000,24.690514
2014-09-03,25.07,25.07,25.030001,25.059999,58400,24.700371
2014-09-04,25.07,25.07,25.040001,25.040001,2300,24.680659
2014-09-05,25.059999,25.120001,25.049999,25.120001,9700,24.759511
2014-09-08,25.110001,25.139999,25.1,25.139999,100300,24.779222
2014-09-09,25.02,25.07,25.02,25.049999,3300,24.690514
2014-09-10,24.99,24.99,24.93,24.93,8400,24.572237
2014-09-11,24.933001,25,24.933001,24.959999,12200,24.601805
2014-09-12,24.790001,24.799999,24.790001,24.799999,1500,24.444102
2014-09-15,24.799999,24.860001,24.799999,24.85,9700,24.493385
2014-09-16,24.950001,24.968,24.9,24.9,4900,24.542667
2014-09-17,24.85,24.889999,24.82,24.889999,3100,24.53281
2014-09-18,24.969999,24.969999,24.969999,24.969999,900,24.611662
2014-09-19,25.040001,25.040001,24.940001,24.99,6000,24.631375
2014-09-22,24.92,24.92,24.84,24.84,4300,24.483528
2014-09-23,24.85,24.85,24.77,24.77,2400,24.414533
2014-09-24,24.799999,24.879999,24.799999,24.879999,2700,24.522953
2014-09-25,24.75,24.75,24.66,24.709999,2200,24.365186
2014-09-26,24.719999,24.809999,24.719999,24.809999,4700,24.463791
2014-09-29,24.780001,24.799999,24.77,24.799999,29900,24.45393
2014-09-30,24.780001,24.780001,24.75,24.780001,9600,24.434211
2014-10-01,24.559999,24.559999,24.559999,24.559999,3500,24.217279
2014-10-02,24.49,24.52,24.49,24.5,2900,24.158117
2014-10-03,24.559999,24.59,24.559999,24.59,2700,24.246861
2014-10-06,24.51,24.559999,24.51,24.549999,9700,24.207419
2014-10-07,24.530001,24.530001,24.35,24.35,9700,24.010211
2014-10-08,24.35,24.389999,24.290001,24.389999,11000,24.049652
2014-10-09,24.360001,24.360001,24.360001,24.360001,2300,24.020071
2014-10-10,24.32,24.33,24.311001,24.311001,4200,23.971755
2014-10-13,24.34,24.34,24.32,24.32,7700,23.980629
2014-10-14,24.33,24.360001,24.33,24.360001,4000,24.020071
2014-10-15,24.33,24.33,24.26,24.33,12600,23.990489
2014-10-16,24.360001,24.389999,24.360001,24.370001,6700,24.029932
2014-10-17,24.334999,24.35,24.33,24.33,4500,23.990489
2014-10-20,24.309999,24.32,24.299999,24.32,3400,23.980629
2014-10-21,24.41,24.440001,24.4,24.440001,9900,24.098955
2014-10-22,24.450001,24.450001,24.379999,24.389999,3000,24.049652
2014-10-23,24.43,24.440001,24.4,24.440001,1700,24.098955
2014-10-24,24.42,24.43,24.389999,24.43,4900,24.089094
2014-10-27,24.41,24.42,24.41,24.42,4500,24.079234
2014-10-28,24.42,24.42,24.389999,24.42,4300,24.079234
2014-10-29,24.41,24.41,24.370001,24.4,8900,24.059512
2014-10-30,24.42,24.440001,24.34,24.440001,5600,24.098955
2014-10-31,24.52,24.565001,24.52,24.545,8000,24.202489
2014-11-03,24.51,24.559999,24.5,24.540001,51900,24.19756
2014-11-04,24.59,24.59,24.4,24.440001,62800,24.098955
2014-11-05,24.440001,24.48,24.41,24.459,22000,24.117689
2014-11-06,24.370001,24.440001,24.370001,24.440001,3100,24.098955
2014-11-07,24.450001,24.49,24.450001,24.469999,9700,24.128535
2014-11-10,24.465,24.5,24.459999,24.459999,3600,24.118674
2014-11-11,24.5,24.5,24.469999,24.469999,1600,24.128535
2014-11-12,24.533001,24.57,24.52,24.57,3700,24.22714
2014-11-13,24.59,24.646999,24.59,24.646999,11800,24.303065
2014-11-14,24.625999,24.629999,24.59,24.629999,9000,24.286302
2014-11-17,24.593,24.629999,24.593,24.629999,11000,24.286302
2014-11-18,24.674999,24.737,24.66,24.735001,7500,24.389838
2014-11-19,24.700001,24.75,24.700001,24.709999,9200,24.365186
2014-11-20,24.719999,24.76,24.719999,24.747999,8100,24.402656
2014-11-21,24.83,24.870001,24.83,24.870001,3600,24.522955
2014-11-24,24.889999,24.927999,24.889999,24.927999,9500,24.580144
2014-11-25,24.950001,24.969999,24.950001,24.959999,4700,24.611697
2014-11-26,24.93,24.969,24.93,24.969,4300,24.620572
2014-11-28,24.908001,24.91,24.879999,24.896,5300,24.548591
2014-12-01,24.67,24.700001,24.67,24.700001,9500,24.355327
2014-12-02,24.690001,24.700001,24.65,24.686001,12300,24.341522
2014-12-03,24.67,24.709999,24.67,24.700001,8700,24.355327
2014-12-04,24.58,24.620001,24.57,24.6,12500,24.256722
2014-12-05,24.660999,24.660999,24.629999,24.66,7900,24.315884
2014-12-08,24.469999,24.469999,24.379999,24.43,12000,24.089094
2014-12-09,24.222,24.33,24.222,24.299999,13700,23.960907
2014-12-10,24.18,24.18,24.030001,24.033001,15000,23.697635
2014-12-11,24.291,24.319,24.219999,24.219999,5700,23.882024
2014-12-12,24.049999,24.129999,24,24,8000,23.665094
2014-12-15,23.889999,23.902,23.889999,23.902,17500,23.568462
2014-12-16,23.959999,23.959999,23.879999,23.92,7200,23.602011
2014-12-17,23.969999,24.07,23.93,24.07,4000,23.750016
2014-12-18,24.212,24.27,24.212,24.27,4800,23.947358
2014-12-19,23.780001,24.35,23.780001,24.35,5800,24.026295
2014-12-22,24.408001,24.450001,24.408001,24.421,9200,24.09635
2014-12-23,24.549999,24.549999,24.49,24.49,7500,24.164433
2014-12-24,24.566999,24.58,24.549999,24.58,7600,24.253237
2014-12-26,24.6,24.620001,24.6,24.610001,8700,24.282839
2014-12-29,24.639999,24.66,24.639999,24.66,4100,24.332173
2014-12-30,24.549999,24.610001,24.549999,24.577999,5500,24.251263
2014-12-31,24.639999,24.639999,24.527,24.530001,7500,24.203902
2015-01-02,24.41,24.450001,24.360001,24.450001,13500,24.124966
2015-01-05,24.08,24.09,24.040001,24.09,11100,23.769751
2015-01-06,24.129999,24.18,23.9,24.07,28400,23.750016
2015-01-07,24.139999,24.17,24.049999,24.129999,12200,23.809218
2015-01-08,24.35,24.459,24.35,24.459,6600,24.133845
2015-01-09,24.280001,24.32,24.219999,24.280001,10200,23.957226
2015-01-12,24.25,24.26,24.120001,24.18,7900,23.858555
2015-01-13,24.448999,24.448999,24.099001,24.099001,7300,23.778632
2015-01-14,23.959999,23.99,23.85,23.99,6900,23.67108
2015-01-15,24.059999,24.129999,24.049999,24.104,12900,23.783565
2015-01-16,24.16,24.188999,24.15,24.16,9800,23.83882
2015-01-20,24.08,24.24,24.08,24.219999,5300,23.898022
2015-01-21,24.18,24.24,24.167999,24.209999,7900,23.888155
