"Index","open","high","low","close","volume","adjusted"
2006-09-21,25.299999,25.32,24.870001,24.870001,7800,20.460789
2006-09-22,24.76,24.76,24.530001,24.58,1500,20.222202
2006-09-25,24.629999,24.76,24.440001,24.76,66800,20.37029
2006-09-26,24.75,24.92,24.75,24.91,20700,20.493697
2006-09-27,24.879999,25,24.879999,24.969999,4300,20.543059
2006-09-28,25.02,25.1,25,25.07,3500,20.62533
2006-09-29,25.07,25.07,24.84,24.84,2200,20.436107
2006-10-02,24.74,24.77,24.610001,24.68,12700,20.304474
2006-10-03,24.42,24.57,24.42,24.51,9100,20.164613
2006-10-04,24.58,25,24.58,24.99,4500,20.559513
2006-10-05,25.1,25.360001,25.1,25.35,4500,20.855689
2006-10-06,25.32,25.4,25.24,25.35,4900,20.855689
2006-10-09,25.280001,25.5,25.280001,25.5,1700,20.979095
2006-10-10,25.620001,25.65,25.530001,25.629999,2800,21.086047
2006-10-11,25.5,26.25,25.49,25.49,2800,20.970868
2006-10-12,25.610001,25.780001,25.610001,25.77,6100,21.201227
2006-10-13,26.08,26.41,26.08,26.35,8000,21.678399
2006-10-16,26.48,26.75,26.440001,26.75,19500,22.007482
2006-10-17,26.610001,26.799999,26.4,26.719999,18100,21.9828
2006-10-18,26.92,26.92,26.450001,26.450001,10100,21.76067
2006-10-19,26.540001,26.68,26.540001,26.66,4400,21.933438
2006-10-20,26.65,26.65,26.450001,26.5,6000,21.801805
2006-10-23,26.280001,26.59,26.280001,26.559999,2000,21.851167
2006-10-24,26.51,26.58,26.51,26.52,10100,21.818259
2006-10-25,26.629999,26.809999,26.540001,26.809999,19500,22.056844
2006-10-26,26.959999,26.99,26.74,26.99,8800,22.204932
2006-10-27,26.870001,26.969999,26.59,26.59,12300,21.875849
2006-10-30,26.549999,26.620001,26.35,26.5,11400,21.801805
2006-10-31,26.34,26.469999,26.27,26.27,17100,21.612582
2006-11-01,26.530001,26.530001,25.780001,25.780001,17600,21.209455
2006-11-02,25.559999,25.639999,25.35,25.5,2700,20.979095
2006-11-03,25.65,25.75,25.540001,25.75,6700,21.184773
2006-11-06,26,26.17,25.940001,26.17,5500,21.530311
2006-11-07,26.25,26.34,26.02,26.02,14900,21.406905
2006-11-08,26,26.379999,26,26.219999,7000,21.571446
2006-11-09,26.309999,26.41,26.059999,26.059999,10600,21.439812
2006-11-10,26.110001,26.190001,26.08,26.16,2300,21.522084
2006-11-13,26,26.32,26,26.32,8200,21.653717
2006-11-14,26.299999,26.799999,26.26,26.799999,8100,22.048617
2006-11-15,26.84,27.110001,26.84,27.040001,15700,22.246069
2006-11-16,27.049999,27.049999,26.9,26.93,7600,22.15557
2006-11-17,26.950001,26.950001,26.68,26.790001,3800,22.040391
2006-11-20,26.860001,27.01,26.780001,26.879999,12600,22.114434
2006-11-21,27.02,27.17,26.969999,27.17,22700,22.35302
2006-11-22,27.4,27.41,27.110001,27.139999,16500,22.328339
2006-11-24,27.01,27.07,26.950001,27.07,5600,22.270749
2006-11-27,26.950001,26.950001,26.469999,26.469999,18000,21.777123
2006-11-28,26.450001,26.5,26.32,26.5,10000,21.801805
2006-11-29,26.610001,26.91,26.610001,26.889999,8400,22.122661
2006-11-30,26.92,27.02,26.780001,26.91,11900,22.139116
2006-12-01,26.99,26.99,26.65,26.67,3700,21.941666
2006-12-04,26.74,27.35,26.74,27.34,7400,22.492881
2006-12-05,27.48,27.629999,27.48,27.549999,10500,22.665649
2006-12-06,27.540001,27.639999,27.48,27.629999,8500,22.731466
2006-12-07,27.530001,27.73,27.51,27.540001,4900,22.657424
2006-12-08,27.48,27.639999,27.34,27.57,2400,22.682104
2006-12-11,27.799999,27.799999,27.559999,27.629999,10000,22.731466
2006-12-12,27.629999,27.629999,27.370001,27.389999,6400,22.534016
2006-12-13,27.629999,27.629999,27.450001,27.52,38400,22.640969
2006-12-14,27.690001,27.959999,27.690001,27.76,51600,22.838419
2006-12-15,27.799999,27.92,27.75,27.76,23000,22.838419
2006-12-18,27.9,27.9,27.360001,27.360001,29700,22.509336
2006-12-19,27.209999,27.809999,27.209999,27.719999,20000,22.80551
2006-12-20,27.98,28.27,27.9,27.91,26100,22.961825
2006-12-21,28.049999,28.049999,27.67,27.77,22800,22.846647
2006-12-22,27.719999,27.75,27.540001,27.59,25800,22.756741
2006-12-26,27.610001,27.879999,27.610001,27.879999,20800,22.995937
2006-12-27,27.940001,28.299999,27.940001,28.299999,43300,23.342361
2006-12-28,28.32,28.35,28.16,28.26,31100,23.309369
2006-12-29,28.25,28.290001,27.870001,27.870001,24000,22.98769
2007-01-03,28.1,28.17,27.42,27.709999,34100,22.855718
2007-01-04,27.52,27.67,27.440001,27.620001,17500,22.781486
2007-01-05,27.4,27.41,27.01,27.01,23100,22.278346
2007-01-08,26.98,27.290001,26.860001,27.25,21200,22.476302
2007-01-09,27.129999,27.129999,26.65,26.879999,14200,22.171119
2007-01-10,26.790001,26.99,26.790001,26.950001,23300,22.228857
2007-01-11,27.110001,27.360001,27.09,27.18,7400,22.418565
2007-01-12,27.200001,27.42,27.200001,27.42,17500,22.616521
2007-01-16,27.629999,27.629999,27.34,27.42,20000,22.616521
2007-01-17,27.41,27.5,27.290001,27.290001,8200,22.509296
2007-01-18,27.379999,27.379999,26.92,26.92,16800,22.204112
2007-01-19,26.889999,27.16,26.77,27.120001,11100,22.369077
2007-01-22,26.98,27,26.719999,26.76,6600,22.072141
2007-01-23,26.76,27.16,26.76,27.059999,5400,22.319586
2007-01-24,27.24,27.41,27.209999,27.41,1500,22.608273
2007-01-25,27.26,27.309999,26.93,26.959999,7000,22.237104
2007-01-26,26.85,27.120001,26.85,27.120001,11500,22.369077
2007-01-29,27.15,27.360001,27.15,27.360001,8900,22.567033
2007-01-30,27.379999,27.67,27.379999,27.629999,4800,22.789733
2007-01-31,27.57,27.889999,27.57,27.85,4700,22.971194
2007-02-01,27.92,28.120001,27.85,28.059999,3500,23.144405
2007-02-02,28.059999,28.129999,28.049999,28.129999,5300,23.202142
2007-02-05,28.02,28.16,28.02,28.15,5900,23.218639
2007-02-06,28.280001,28.280001,28.129999,28.27,6100,23.317617
2007-02-07,28.33,28.549999,28.33,28.41,11200,23.433092
2007-02-08,28.27,28.43,28.27,28.43,5300,23.449588
2007-02-09,28.450001,28.450001,28.01,28.059999,8100,23.144405
2007-02-12,28.049999,28.059999,27.92,28,5600,23.094916
2007-02-13,28.1,28.27,28.1,28.27,7600,23.317617
2007-02-14,28.309999,28.540001,28.290001,28.379999,42800,23.408346
2007-02-15,28.34,28.4,28.32,28.360001,2600,23.391851
2007-02-16,28.370001,28.43,28.27,28.43,4300,23.449588
2007-02-20,28.389999,28.83,28.33,28.809999,16100,23.763019
2007-02-21,28.790001,28.799999,28.57,28.77,55900,23.730027
