"Index","open","high","low","close","volume","adjusted"
2007-10-18,10,10,9.91,9.96,500,9.96
2007-10-19,9.89,9.89,9.86,9.86,1000,9.86
2007-10-22,9.75,9.83,9.71,9.83,1900,9.83
2007-10-23,10,10,9.93,9.93,4800,9.93
2007-10-24,10,10,9.82,9.94,11900,9.94
2007-10-25,10.02,10.02,9.84,9.95,20700,9.95
2007-10-26,10.05,10.17,9.88,9.99,11800,9.99
2007-10-29,10.03,10.04,9.97,9.97,5600,9.97
2007-10-30,9.86,9.97,9.86,9.97,1400,9.97
2007-10-31,9.97,9.97,9.97,9.97,0,9.97
2007-11-01,9.8,9.86,9.8,9.86,13400,9.86
2007-11-02,9.93,9.93,9.8,9.83,4200,9.83
2007-11-05,9.79,9.79,9.69,9.69,1000,9.69
2007-11-06,9.59,9.68,9.59,9.68,700,9.68
2007-11-07,9.63,9.63,8.42,9.33,3700,9.33
2007-11-08,9.32,9.38,8.55,9.22,4900,9.22
2007-11-09,9.99,9.99,9.29,9.35,800,9.35
2007-11-12,9.43,9.48,8.51,9.39,1600,9.39
2007-11-13,9.44,9.44,9.3,9.3,1500,9.3
2007-11-14,9.61,9.61,9.51,9.51,1800,9.51
2007-11-15,8.49,9.55,8.49,9.23,4500,9.23
2007-11-16,9.22,9.22,9.22,9.22,200,9.22
2007-11-19,9.19,9.19,9.19,9.19,100,9.19
2007-11-20,9.11,9.11,8.94,8.94,800,8.94
2007-11-21,8.9,8.94,8.9,8.94,300,8.94
2007-11-23,8.94,8.94,8.94,8.94,0,8.94
2007-11-26,8.94,8.94,8.94,8.94,0,8.94
2007-11-27,8.9,8.9,8.78,8.78,1000,8.78
2007-11-28,9.17,9.17,8.51,9.15,1200,9.15
2007-11-29,9.15,9.15,9.15,9.15,0,9.15
2007-11-30,8.73,9.4,8.73,9.4,1600,9.4
2007-12-03,10.14,10.14,9.33,9.33,1000,9.33
2007-12-04,9.33,9.33,9.33,9.33,0,9.33
2007-12-05,9.33,9.33,9.33,9.33,0,9.33
2007-12-06,9.33,9.33,9.33,9.33,0,9.33
2007-12-07,9.33,9.33,9.33,9.33,0,9.33
2007-12-10,9.33,9.33,9.33,9.33,0,9.33
2007-12-11,9.33,9.33,9.33,9.33,0,9.33
2007-12-12,9.47,9.47,9.2,9.2,800,9.2
2007-12-13,9.2,9.2,9.2,9.2,0,9.2
2007-12-14,9.2,9.2,9.2,9.2,0,9.2
2007-12-17,9.2,9.2,9.2,9.2,0,9.2
2007-12-18,9.2,9.2,9.2,9.2,0,9.2
2007-12-19,9.09,9.09,9.09,9.09,400,9.09
2007-12-20,9.09,9.09,9.09,9.09,0,9.09
2007-12-21,9.09,9.09,9.09,9.09,0,9.09
2007-12-24,9.09,9.09,9.09,9.09,0,9.09
2007-12-26,9.22,9.29,8,9.29,2900,9.29
2007-12-27,9.29,9.29,9.29,9.29,0,9.29
2007-12-28,9.19,9.19,9.11,9.12,900,9.12
2007-12-31,9.16,9.16,9.16,9.16,1000,9.16
2008-01-02,9.16,9.16,9.16,9.16,0,9.16
2008-01-03,9.01,9.01,8.72,8.72,2100,8.72
2008-01-04,8.7,8.72,8.69,8.72,800,8.72
2008-01-07,8.71,8.71,8.71,8.71,100,8.71
2008-01-08,8.71,8.71,8.71,8.71,0,8.71
2008-01-09,8.46,8.68,8.46,8.68,6000,8.68
2008-01-10,8.53,9.47,8,8.91,10600,8.91
2008-01-11,8.91,8.91,8.91,8.91,0,8.91
2008-01-14,8.91,8.91,8.91,8.91,0,8.91
2008-01-15,8.91,8.91,8.91,8.91,0,8.91
2008-01-16,8,8.77,8,8.77,3500,8.77
2008-01-17,8.77,8.77,8.77,8.77,0,8.77
2008-01-18,8.49,8.62,8.49,8.54,5700,8.54
2008-01-22,9.04,9.68,8,8.77,16100,8.77
2008-01-23,8.69,9.06,8,8.8,2700,8.8
2008-01-24,8.8,8.8,8.8,8.8,0,8.8
2008-01-25,8.8,8.8,8.8,8.8,0,8.8
2008-01-28,8.97,8.99,8.16,8.97,1400,8.97
2008-01-29,9.19,9.23,9.11,9.23,400,9.23
2008-01-30,9.47,10.08,9.4,9.4,3900,9.4
2008-01-31,9.4,9.4,9.4,9.4,0,9.4
2008-02-01,9.45,9.45,9.36,9.36,600,9.36
2008-02-04,9.41,9.41,9.41,9.41,400,9.41
2008-02-05,9.16,9.16,9.04,9.04,2000,9.04
2008-02-06,9.04,9.04,9.04,9.04,0,9.04
2008-02-07,9.04,9.04,9.04,9.04,0,9.04
2008-02-08,8.93,9.03,8.93,8.99,1600,8.99
2008-02-11,8.89,8.99,8.89,8.99,400,8.99
2008-02-12,9.03,9.03,9.03,9.03,500,9.03
2008-02-13,9.17,9.17,9.17,9.17,500,9.17
2008-02-14,9.18,9.38,9.1,9.13,11900,9.13
2008-02-15,9.04,9.04,9.04,9.04,5100,9.04
2008-02-19,9.14,9.14,9.14,9.14,1200,9.14
2008-02-20,9.11,9.19,9.11,9.15,3500,9.15
2008-02-21,9.18,9.18,9.17,9.17,300,9.17
2008-02-22,9.05,9.05,8.96,8.96,1100,8.96
2008-02-25,8.96,8.96,8.96,8.96,0,8.96
2008-02-26,9.86,9.86,9.35,9.35,600,9.35
2008-02-27,9.5,9.5,9.4,9.46,1500,9.46
2008-02-28,10.36,10.5,9.22,9.24,4800,9.24
2008-02-29,9.05,9.05,8.98,8.98,2400,8.98
2008-03-03,8.9,8.9,8.81,8.81,1400,8.81
2008-03-04,8.75,8.75,8.75,8.75,1200,8.75
2008-03-05,8.75,8.94,8.75,8.82,700,8.82
2008-03-06,8.74,8.74,8.61,8.61,6500,8.61
2008-03-07,8.5,8.5,8.5,8.5,600,8.5
2008-03-10,8.45,8.45,8.45,8.45,100,8.45
2008-03-11,8.39,8.6,8.39,8.49,2100,8.49
2008-03-12,8.49,8.49,8.49,8.49,0,8.49
2008-03-13,8.4,8.6,8,8,3900,8
2008-03-14,8.57,8.69,8.44,8.45,1600,8.45
2008-03-17,8.45,8.45,8.18,8.28,2300,8.28
2008-03-18,8.76,8.76,8.76,8.76,100,8.76
2008-03-19,8.89,8.89,8.89,8.89,200,8.89
2008-03-20,8.87,8.89,8.87,8.89,500,8.89
2008-03-24,9.05,9.22,9.05,9.21,3700,9.21
2008-03-25,9.22,9.32,9.22,9.32,6600,9.32
2008-03-26,9.2,9.22,9.16,9.22,3500,9.22
2008-03-27,9.14,9.15,9.14,9.15,500,9.15
2008-03-28,9.07,9.07,9.07,9.07,4400,9.07
2008-03-31,9.5,9.5,8.08,8.81,2100,8.81
2008-04-01,9.29,9.29,9.29,9.29,100,9.29
2008-04-02,9.34,9.36,9.34,9.35,3200,9.35
2008-04-03,9.3,9.31,9.3,9.31,600,9.31
2008-04-04,9.32,9.41,8.5,9.15,14300,9.15
2008-04-07,9,9.28,9,9.2,1300,9.2
2008-04-08,9.25,9.25,9.2,9.21,1800,9.21
2008-04-09,9.37,9.37,9.09,9.09,2600,9.09
2008-04-10,9.19,9.3,9.17,9.2,900,9.2
2008-04-11,8.92,9.24,8.5,9.16,5200,9.16
2008-04-14,9.06,9.07,8.95,9.07,6600,9.07
2008-04-15,9.07,9.07,9.07,9.07,0,9.07
2008-04-16,9.13,9.2,9.13,9.2,2100,9.2
2008-04-17,9.15,9.23,9.15,9.23,500,9.23
2008-04-18,9.44,9.6,9.44,9.46,11800,9.46
2008-04-21,9.49,9.49,8.05,9.44,11900,9.44
2008-04-22,9.38,9.68,9.29,9.33,12400,9.33
2008-04-23,9.33,9.53,9.33,9.39,13200,9.39
2008-04-24,9.12,9.46,9.12,9.37,2500,9.37
2008-04-25,9.45,9.45,9.45,9.45,100,9.45
2008-04-28,9.5,9.5,9.5,9.5,100,9.5
2008-04-29,9.49,9.6,9.49,9.6,3900,9.6
2008-04-30,9.42,9.42,9.42,9.42,200,9.42
2008-05-01,9.72,9.72,9.7,9.7,1000,9.7
2008-05-02,9.9,9.9,9.71,9.84,3400,9.84
2008-05-05,9.74,10,9.62,9.63,4100,9.63
2008-05-06,9.6,9.64,9.6,9.6,2000,9.6
2008-05-07,9.64,9.64,9.48,9.48,1800,9.48
2008-05-08,9.73,9.73,9.46,9.48,9900,9.48
2008-05-09,9.48,9.48,9.48,9.48,0,9.48
2008-05-12,9.54,9.6,9.49,9.52,3100,9.52
2008-05-13,9.69,9.69,9.62,9.62,800,9.62
2008-05-14,9.63,9.82,9.63,9.77,1800,9.77
2008-05-15,9.75,9.76,9.75,9.76,3000,9.76
2008-05-16,9.82,9.9,9.7,9.9,1400,9.9
2008-05-19,9.96,9.96,9.94,9.94,1700,9.94
2008-05-20,9.89,9.89,9.75,9.75,8500,9.75
2008-05-21,9.6,9.6,9.6,9.6,100,9.6
2008-05-22,9.4,9.52,9.4,9.52,1200,9.52
2008-05-23,9.45,9.45,9.4,9.4,1100,9.4
2008-05-27,9.24,9.55,8.56,9.55,12900,9.55
2008-05-28,9.51,9.51,9.51,9.51,2100,9.51
2008-05-29,9.7,9.7,9.68,9.68,800,9.68
2008-05-30,9.68,9.71,9.68,9.71,1600,9.71
2008-06-02,9.55,9.55,9.55,9.55,1000,9.55
2008-06-03,9.52,9.52,9.48,9.48,700,9.48
2008-06-04,9.68,9.78,9.68,9.74,1400,9.74
2008-06-05,9.48,9.86,9.48,9.86,2200,9.86
2008-06-06,9.74,9.74,9.57,9.57,1800,9.57
2008-06-09,9.54,9.54,9.5,9.5,600,9.5
2008-06-10,9.43,9.53,9.43,9.53,6400,9.53
2008-06-11,9.48,9.48,9.31,9.31,3300,9.31
2008-06-12,9.45,9.46,9.44,9.44,500,9.44
2008-06-13,9.54,9.54,9.52,9.52,700,9.52
2008-06-16,9.61,9.64,9.04,9.64,2900,9.64
2008-06-17,9.65,9.65,9.32,9.51,1100,9.51
2008-06-18,9.34,9.34,9.34,9.34,100,9.34
2008-06-19,9.35,9.37,9.35,9.37,1200,9.37
2008-06-20,9.29,9.29,9.27,9.27,500,9.27
2008-06-23,9.16,9.88,8.96,8.96,1600,8.96
2008-06-24,9.18,9.19,9.08,9.19,2800,9.19
2008-06-25,9.17,9.34,9.17,9.32,1100,9.32
2008-06-26,9.16,9.16,8.97,8.97,1500,8.97
2008-06-27,8.83,8.88,8.6,8.88,7600,8.88
2008-06-30,8.8,8.8,8,8.67,9100,8.67
2008-07-01,8.38,8.68,8.38,8.68,600,8.68
2008-07-02,8.97,8.97,8.97,8.97,1000,8.97
2008-07-03,8.81,8.9,8.81,8.9,11100,8.9
2008-07-07,10.49,10.49,8.05,8.65,2800,8.65
2008-07-08,8.65,8.65,8.65,8.65,0,8.65
2008-07-09,9.01,9.04,9.01,9.04,300,9.04
2008-07-10,8.79,8.89,8.06,8.4,37600,8.4
2008-07-11,8.54,9,8.01,8.35,7900,8.35
2008-07-14,8.59,8.59,8.54,8.54,600,8.54
2008-07-15,8.54,8.54,8.54,8.54,0,8.54
2008-07-16,8.73,8.84,8.7,8.84,1300,8.84
2008-07-17,9,9.02,8.9,9.02,3800,9.02
2008-07-18,9.22,9.22,9.14,9.14,700,9.14
2008-07-21,9.18,9.85,9.03,9.07,9500,9.07
2008-07-22,9.14,9.28,9.04,9.28,2800,9.28
2008-07-23,9.34,9.56,9.33,9.45,10800,9.45
2008-07-24,9.45,9.45,9.33,9.34,5600,9.34
2008-07-25,9.09,9.09,9.05,9.05,1400,9.05
2008-07-28,9.16,9.16,8.93,8.93,3800,8.93
2008-07-29,9.2,9.28,9.2,9.28,800,9.28
2008-07-30,9.45,9.45,9.03,9.03,2000,9.03
2008-07-31,9.35,9.39,9.08,9.38,4600,9.38
2008-08-01,9.44,9.44,9.25,9.42,55600,9.42
2008-08-04,9.42,9.42,9.42,9.42,0,9.42
2008-08-05,9.33,9.49,9.33,9.49,6900,9.49
2008-08-06,9.69,9.69,9.68,9.68,4500,9.68
2008-08-07,9.65,9.65,9.55,9.55,7900,9.55
2008-08-08,10,10,9.55,9.89,4500,9.89
2008-08-11,10.3,10.7,9.72,9.94,35600,9.94
2008-08-12,9.97,10.06,9.04,9.93,18600,9.93
2008-08-13,9.73,9.87,9.73,9.87,6700,9.87
2008-08-14,9.71,9.95,9.71,9.95,2300,9.95
2008-08-15,9.95,10.04,9.94,10,1500,10
2008-08-18,9.98,9.98,9.68,9.81,23300,9.81
2008-08-19,9.81,9.81,9.81,9.81,0,9.81
2008-08-20,9.61,9.61,9.51,9.51,2200,9.51
2008-08-21,9.58,9.62,8.84,9.31,76600,9.31
2008-08-22,9.47,9.8,9.42,9.75,45200,9.75
2008-08-25,9.64,9.64,9.36,9.47,13700,9.47
2008-08-26,9.5,9.53,8.96,9.53,7200,9.53
2008-08-27,9.46,9.71,9.46,9.7,2500,9.7
2008-08-28,9.78,9.94,9.78,9.94,3300,9.94
2008-08-29,9.89,9.89,9.89,9.89,500,9.89
2008-09-02,9.88,10.1,9.88,9.92,2600,9.92
2008-09-03,9.93,9.97,9.37,9.97,800,9.97
2008-09-04,10.16,10.16,9.82,9.82,2300,9.82
2008-09-05,9.72,9.83,9.71,9.83,3100,9.83
2008-09-08,9.77,10.02,9.77,10.02,3200,10.02
2008-09-09,9.83,9.83,9.8,9.8,1500,9.8
2008-09-10,9.7,9.81,9.63,9.77,2400,9.77
2008-09-11,9.75,9.81,9.55,9.81,4000,9.81
2008-09-12,9.81,9.89,9.78,9.88,10200,9.88
2008-09-15,9.92,9.92,6.59,9.4,41500,9.4
2008-09-16,9.46,9.53,9.46,9.53,1700,9.53
2008-09-17,8.6,9.45,8.56,9.24,3600,9.24
2008-09-18,9.33,9.48,8.51,9.48,4300,9.48
2008-09-19,9.96,10.15,9.63,10.15,3500,10.15
2008-09-22,10.14,10.14,8.31,9.66,19900,9.66
2008-09-23,9.6,9.7,9.35,9.63,15200,9.63
2008-09-24,9.2,9.55,9.13,9.49,3600,9.49
2008-09-25,9.6,9.6,9.51,9.6,3800,9.6
2008-09-26,9.5,9.64,9.5,9.64,2500,9.64
2008-09-29,9.84,9.84,8.98,9.13,10700,9.13
2008-09-30,8.99,9.18,8.99,9.13,1800,9.13
2008-10-01,9.16,9.16,9.16,9.16,200,9.16
2008-10-02,9,9,8.78,8.8,8400,8.8
2008-10-03,9,9.24,8.84,9.24,16900,9.24
2008-10-06,8.77,8.77,7.74,8.22,23600,8.22
2008-10-07,8.27,8.38,7.86,7.93,4400,7.93
2008-10-08,7.83,7.83,7.38,7.38,2300,7.38
2008-10-09,8.01,8.01,7.3,7.3,8000,7.3
2008-10-10,6.25,7.32,6.25,7.25,27100,7.25
2008-10-13,8,8,7.51,7.77,2900,7.77
2008-10-14,8,8.1,7.77,7.77,2000,7.77
2008-10-15,7.79,7.79,7.25,7.25,1100,7.25
2008-10-16,7.07,7.17,6.5,6.85,10900,6.85
2008-10-17,6.85,7.48,5.76,7.38,25600,7.38
2008-10-20,7.5,7.68,6.89,7.68,4200,7.68
2008-10-21,7.59,7.62,7.34,7.34,12300,7.34
2008-10-22,7.12,7.12,6.6,6.89,7000,6.89
2008-10-23,6.89,6.89,6.61,6.61,3600,6.61
2008-10-24,6.5,6.88,6.11,6.88,7000,6.88
2008-10-27,6.74,6.89,6.06,6.73,3300,6.73
2008-10-28,6.47,7.01,6.47,7.01,2700,7.01
2008-10-29,7.27,7.44,7.16,7.44,1200,7.44
2008-10-30,7.38,7.45,7.28,7.44,2500,7.44
2008-10-31,7.42,7.79,7.06,7.79,1600,7.79
2008-11-03,7.8,7.8,7.35,7.61,9000,7.61
2008-11-04,7.86,7.98,7.56,7.71,9100,7.71
2008-11-05,7.95,7.95,7.58,7.58,1500,7.58
2008-11-06,7.24,7.26,6.42,6.98,20700,6.98
2008-11-07,7.25,7.33,6.01,7.28,21700,7.28
2008-11-10,6.02,7.43,6.02,7.15,17100,7.15
2008-11-11,6.84,6.84,6.58,6.81,600,6.81
2008-11-12,6.88,6.88,6.5,6.81,7200,6.81
2008-11-13,6.67,6.97,6.36,6.97,1100,6.97
2008-11-14,6.93,6.93,6.31,6.79,1200,6.79
2008-11-17,6.59,6.69,6.59,6.69,300,6.69
2008-11-18,6.57,6.65,6.3,6.33,7500,6.33
2008-11-19,6.5,6.59,5.51,6.09,12600,6.09
2008-11-20,6.07,6.07,5.5,5.69,3700,5.69
2008-11-21,5.82,5.9,5.01,5.9,8700,5.9
2008-11-24,6.08,6.39,6.08,6.39,3800,6.39
2008-11-25,6.5,6.5,6.4,6.4,800,6.4
2008-11-26,7.17,7.17,6.44,6.44,1500,6.44
2008-11-28,6.79,6.79,6.63,6.77,1600,6.77
2008-12-01,6.68,6.69,6.1,6.47,17600,6.47
2008-12-02,6.47,6.52,6.46,6.52,300,6.52
2008-12-03,6.69,7.02,6.53,6.53,600,6.53
2008-12-04,6.63,6.63,6.63,6.63,700,6.63
2008-12-05,6.49,6.49,5.89,6.13,4400,6.13
2008-12-08,7.09,7.09,5.4,6.78,4500,6.78
2008-12-09,7.04,7.04,6.13,6.23,2800,6.23
2008-12-10,7.07,7.07,6.96,7.05,1400,7.05
2008-12-11,7.14,7.14,6.94,6.94,1000,6.94
2008-12-12,6.74,6.89,6.73,6.89,2000,6.89
2008-12-15,6.9,6.93,6.12,6.75,27000,6.75
2008-12-16,7.1,7.25,7.01,7.25,1600,7.25
2008-12-17,7.27,7.27,7.12,7.12,3800,7.12
2008-12-18,7.12,7.12,7.12,7.12,0,7.12
2008-12-19,7.97,7.97,7.29,7.35,2000,7.35
2008-12-22,7.11,7.11,7.11,7.11,300,7.11
2008-12-23,6.88,6.99,6.32,6.96,1200,6.96
2008-12-24,6.51,7.06,6.51,7.06,200,7.06
2008-12-26,7.06,7.06,7.06,7.06,0,7.06
2008-12-29,6.89,6.89,6.28,6.79,3400,6.79
2008-12-30,7.05,7.62,7.05,7.16,4300,7.16
2008-12-31,7.22,7.3,7.22,7.3,700,7.3
2009-01-02,7.34,7.55,7.34,7.55,2100,7.55
2009-01-05,7.58,7.65,7.57,7.65,7400,7.65
2009-01-06,7.79,7.98,7.5,7.81,32800,7.81
2009-01-07,7.73,7.73,7.66,7.66,6300,7.66
2009-01-08,7.5,7.52,7.5,7.52,1800,7.52
2009-01-09,7.43,7.43,7.39,7.39,700,7.39
2009-01-12,7.25,7.28,6.35,7.08,30900,7.08
2009-01-13,7.15,7.25,7.15,7.22,900,7.22
2009-01-14,7,7,7,7,3600,7
2009-01-15,6.88,6.95,6.88,6.95,200,6.95
2009-01-16,6.89,6.89,6.72,6.72,1200,6.72
2009-01-20,7.44,7.44,6.08,6.61,54900,6.61
2009-01-21,6.52,6.76,6.33,6.56,35900,6.56
2009-01-22,7.29,7.29,6.51,6.69,10000,6.69
2009-01-23,6.69,6.69,6.69,6.69,900,6.69
2009-01-26,6.11,6.86,6.11,6.86,3900,6.86
2009-01-27,6.85,6.85,6.85,6.85,700,6.85
2009-01-28,6.97,7.09,6.9,7.09,3500,7.09
2009-01-29,6.91,6.91,6.91,6.91,300,6.91
2009-01-30,7,7,6.58,6.59,7100,6.59
2009-02-02,7.28,7.28,6.58,6.58,500,6.58
2009-02-03,6.58,6.58,6.58,6.58,0,6.58
2009-02-04,6.76,6.76,6.76,6.76,200,6.76
2009-02-05,6.78,6.86,5.99,6.73,11100,6.73
2009-02-06,6.95,7.05,6.95,7.05,3900,7.05
2009-02-09,7.28,7.29,7.28,7.29,500,7.29
2009-02-10,7.29,7.29,7.29,7.29,0,7.29
2009-02-11,6.7,6.7,6.7,6.7,1200,6.7
2009-02-12,6.08,6.08,6.08,6.08,200,6.08
2009-02-13,7.29,7.29,6.76,6.79,2300,6.79
2009-02-17,6.95,6.95,6.18,6.31,2400,6.31
2009-02-18,6.31,6.31,6.31,6.31,0,6.31
2009-02-19,6.31,6.31,6.11,6.11,700,6.11
2009-02-20,6,6.08,5.84,5.93,3400,5.93
2009-02-23,6.75,6.75,6.2,6.22,1100,6.22
2009-02-24,5.9,6,5.77,6,5600,6
2009-02-25,5.81,6.01,5.81,6.01,400,6.01
2009-02-26,6.01,6.01,6.01,6.01,0,6.01
2009-02-27,5.79,5.85,5.6,5.63,5000,5.63
2009-03-02,5.6,5.6,5.49,5.49,5300,5.49
2009-03-03,5.41,5.41,4.89,5.18,1800,5.18
2009-03-04,5.5,5.5,5.5,5.5,100,5.5
2009-03-05,5.5,5.5,5.5,5.5,0,5.5
2009-03-06,5.29,5.29,5.22,5.22,2300,5.22
2009-03-09,5.25,5.34,4.97,5.13,3000,5.13
2009-03-10,5.13,5.13,5.13,5.13,0,5.13
2009-03-11,5.13,5.13,5.13,5.13,0,5.13
2009-03-12,5.73,5.88,5.7,5.8,6200,5.8
2009-03-13,6,6,5.97,5.97,600,5.97
2009-03-16,6.11,6.11,6.05,6.05,1400,6.05
2009-03-17,6.05,6.05,6.05,6.05,0,6.05
2009-03-18,6.05,6.31,6.05,6.31,5800,6.31
2009-03-19,6.5,6.5,5.56,6.21,12500,6.21
2009-03-20,5.93,5.93,5.93,5.93,200,5.93
2009-03-23,6.25,6.42,6.22,6.22,1500,6.22
2009-03-24,6.51,6.53,6.48,6.48,2400,6.48
2009-03-25,6.48,6.6,6.25,6.25,1200,6.25
2009-03-26,5.97,6.61,5.97,6.61,900,6.61
2009-03-27,7.29,7.29,6.41,6.68,1800,6.68
2009-03-30,6.4,6.4,6.32,6.32,400,6.32
2009-03-31,6.32,6.32,6.32,6.32,0,6.32
2009-04-01,6.4,6.4,6.4,6.4,800,6.4
2009-04-02,7.01,7.01,6.08,6.7,1400,6.7
2009-04-03,7.07,7.07,7.05,7.05,300,7.05
2009-04-06,7,7.05,7,7.05,2000,7.05
2009-04-07,6.94,6.94,6.75,6.75,500,6.75
2009-04-08,6.78,6.88,6.22,6.88,3200,6.88
2009-04-09,6.15,7.75,6.15,7.04,11300,7.04
2009-04-13,7.36,8,7.3,7.48,12100,7.48
2009-04-14,8.21,8.21,7.01,7.37,2900,7.37
2009-04-15,6.66,7.28,6.64,7.14,3600,7.14
2009-04-16,7.39,7.65,7.07,7.39,6200,7.39
2009-04-17,7.73,7.73,7.4,7.46,2700,7.46
2009-04-20,7.3,7.33,7.28,7.33,1200,7.33
2009-04-21,7.33,7.33,7.33,7.33,0,7.33
2009-04-22,7.45,7.81,7.45,7.77,1700,7.77
2009-04-23,8.04,8.04,7.61,7.61,2100,7.61
2009-04-24,8,8.3,7.63,8.3,8000,8.3
2009-04-27,8.19,8.19,7.27,7.79,14900,7.79
2009-04-28,7.74,8.13,7.74,7.79,3700,7.79
2009-04-29,8.06,8.21,8.06,8.21,900,8.21
2009-04-30,8.25,8.5,8.25,8.31,1300,8.31
2009-05-01,8.21,8.25,7.85,8.25,700,8.25
2009-05-04,8.54,8.64,8.5,8.64,7800,8.64
2009-05-05,8.28,8.52,7.83,8.44,20100,8.44
2009-05-06,7.57,8.71,7.57,8.7,6100,8.7
2009-05-07,8.75,8.75,8.68,8.68,3200,8.68
2009-05-08,8.68,8.72,8.59,8.72,1900,8.72
2009-05-11,8.83,8.83,8.46,8.57,10900,8.57
2009-05-12,8.32,8.32,8.17,8.17,700,8.17
2009-05-13,8.07,8.07,7.62,7.93,4300,7.93
2009-05-14,7.41,8.1,7.4,8.05,7600,8.05
2009-05-15,8,8.09,8,8.02,2100,8.02
2009-05-18,8.1,9.05,8.1,8.37,13000,8.37
2009-05-19,8.45,8.85,8.45,8.46,13400,8.46
2009-05-20,8.5,8.54,8.03,8.11,2800,8.11
2009-05-21,7.53,8.07,7.53,7.8,11400,7.8
2009-05-22,8,8.02,7.97,7.97,1600,7.97
2009-05-26,8.2,8.26,7.77,8.26,14600,8.26
2009-05-27,8.16,8.17,7.91,7.91,1400,7.91
2009-05-28,8,8.11,7.76,8.07,7900,8.07
2009-05-29,8.07,8.07,8.07,8.07,0,8.07
2009-06-01,8.84,8.84,7.76,8.84,6800,8.84
2009-06-02,8.64,8.75,8.64,8.75,800,8.75
2009-06-03,8.6,8.62,8.6,8.62,4100,8.62
2009-06-04,8.57,8.8,8.57,8.76,6600,8.76
2009-06-05,8.76,8.76,8.76,8.76,0,8.76
2009-06-08,8.5,8.7,8.5,8.65,3300,8.65
2009-06-09,8.72,8.83,8.72,8.83,2000,8.83
2009-06-10,9.15,9.15,8.62,8.62,4500,8.62
2009-06-11,8.81,8.83,8.81,8.83,1800,8.83
2009-06-12,8.67,8.67,8.67,8.67,400,8.67
2009-06-15,8.28,8.67,8.28,8.63,5300,8.63
