"Index","open","high","low","close","volume","adjusted"
2005-05-10,91.099998,91.160004,90.540001,90.629997,213600,71.017782
2005-05-11,90.760002,91.099998,90.349998,91.080002,61500,71.370406
2005-05-12,91.139999,91.290001,90.239998,90.32,30600,70.774868
2005-05-13,90.389999,90.510002,89.639999,90.029999,29400,70.547623
2005-05-16,90.239998,90.879997,90.239998,90.879997,12600,71.213683
2005-05-17,90.720001,91.449997,90.529999,91.43,6900,71.644666
2005-05-18,91.959999,92.370003,91.699997,92.18,40800,72.232367
2005-05-19,92.32,92.550003,92.279999,92.470001,5100,72.459612
2005-05-20,92.449997,92.639999,92.419998,92.599998,3100,72.561478
2005-05-23,92.779999,93.07,92.699997,92.970001,7200,72.851412
2005-05-24,92.760002,93.099998,92.760002,92.980003,3100,72.85925
2005-05-25,92.769997,92.839996,92.620003,92.839996,1400,72.74954
2005-05-26,93.199997,93.400002,93.120003,93.400002,8300,73.188361
2005-05-27,93.260002,93.389999,93.199997,93.379997,5600,73.172686
2005-05-31,93.360001,93.360001,92.809998,92.849998,57600,72.757378
2005-06-01,92.699997,93.730003,92.690002,93.639999,4400,73.376424
2005-06-02,93.349998,93.519997,93.209999,93.519997,5500,73.282389
2005-06-03,93.5,93.5,92.75,92.75,52000,72.679019
2005-06-06,92.519997,92.800003,92.519997,92.690002,11800,72.632005
2005-06-07,93.25,93.57,92.800003,92.800003,77300,72.718202
2005-06-08,93.050003,93.059998,92.980003,93,19500,72.874919
2005-06-09,92.400002,93,92.389999,92.900002,2000,72.79656
2005-06-10,92.949997,92.970001,92.5,92.660004,14100,72.608498
2005-06-13,92.5,93.150002,92.480003,92.989998,2700,72.867082
2005-06-14,92.860001,93.279999,92.860001,93.279999,1800,73.094327
2005-06-15,93.169998,93.169998,92.5,93,7200,72.874919
2005-06-16,93.220001,93.410004,93.199997,93.400002,3500,73.188361
2005-06-17,93.900002,93.949997,93.699997,93.830002,12300,73.52531
2005-06-20,93.57,93.889999,93.550003,93.889999,10300,73.572324
2005-06-21,93.879997,93.879997,93.540001,93.839996,16300,73.533142
2005-06-22,93.980003,93.980003,93.599998,93.599998,1700,73.345079
2005-06-23,93.410004,93.5,92.419998,92.419998,7600,72.420429
2005-06-24,92.269997,92.349998,91.889999,92.080002,2600,72.154008
2005-06-27,91.830002,91.889999,91.510002,91.639999,6900,71.809221
2005-06-28,91.860001,92.330002,91.860001,92.25,98400,72.287218
2005-06-29,92.410004,92.470001,92.410004,92.470001,700,72.459612
2005-06-30,91.870003,91.949997,91.18,91.18,50800,71.448765
2005-07-01,91.5,91.5,91.190002,91.190002,7200,71.456603
2005-07-05,91.349998,92.150002,91.309998,92.139999,16000,72.201022
2005-07-06,92.07,92.190002,91.379997,91.379997,196800,71.605483
2005-07-07,90.300003,91.400002,90.300003,91.400002,35700,71.621159
2005-07-08,91.739998,92.580002,91.739998,92.580002,13000,72.545808
2005-07-11,92.650002,93.089996,92.650002,92.870003,10800,72.773053
2005-07-12,93,93.419998,92.790001,93.209999,6400,73.039475
2005-07-13,93.339996,93.400002,93.080002,93.400002,7600,73.188361
2005-07-14,94,94.040001,93.800003,93.980003,13000,73.642851
2005-07-15,93.669998,93.910004,93.620003,93.910004,6200,73.587999
2005-07-18,93.5,93.550003,93.209999,93.209999,4600,73.039475
2005-07-19,93.260002,93.419998,93.260002,93.360001,33200,73.157016
2005-07-20,93.43,93.989998,93.300003,93.959999,10200,73.627176
2005-07-21,93.68,93.760002,93.339996,93.68,7000,73.407769
2005-07-22,93.449997,93.580002,93.139999,93.580002,13600,73.32941
2005-07-25,93.599998,93.730003,93.129997,93.199997,8300,73.031637
2005-07-26,93.389999,93.510002,93.300003,93.470001,2600,73.243213
2005-07-27,93.400002,93.68,93.190002,93.68,6300,73.407769
