"Index","open","high","low","close","volume","adjusted"
2013-02-15,25.24,25.24,25.190001,25.190001,7500,23.632287
2013-02-19,25.32,25.370001,25.32,25.35,5600,23.782393
2013-02-20,25.42,25.42,25.27,25.27,600,23.70734
2013-02-21,25.09,25.139999,25.09,25.139999,400,23.585378
2013-02-22,25.209999,25.27,25.209999,25.26,1700,23.697958
2013-02-25,25.940001,25.940001,25.139999,25.139999,6400,23.585378
2013-02-26,24.91,25.040001,24.91,25.030001,2200,23.482181
2013-02-27,25.15,25.309999,25.15,25.299999,2300,23.735484
2013-02-28,25.85,25.85,25.290001,25.34,13700,23.773011
2013-03-01,25.74,25.74,25.08,25.27,2700,23.70734
2013-03-04,25.26,25.42,25.24,25.4,8600,23.8293
2013-03-05,25.639999,25.65,25.59,25.65,6500,24.06384
2013-03-06,25.68,25.68,25.6,25.65,2100,24.06384
2013-03-07,25.83,25.83,25.6,25.610001,4000,24.026315
2013-03-08,25.860001,25.860001,25.620001,25.709999,3800,24.12013
2013-03-11,25.639999,25.76,25.639999,25.73,5200,24.138893
2013-03-12,26.139999,26.139999,25.690001,25.74,6600,24.148275
2013-03-13,25.98,26.110001,25.77,25.799999,5500,24.204564
2013-03-14,26.190001,26.190001,25.870001,25.93,4500,24.326526
2013-03-15,26.290001,26.290001,25.85,25.9,3400,24.360386
2013-03-18,25.870001,25.870001,25.809999,25.809999,1700,24.275736
2013-03-19,26.24,26.24,25.75,25.809999,8800,24.275736
2013-03-20,25.950001,26.01,25.940001,26.01,1500,24.463848
2013-03-21,26,26.040001,25.91,25.950001,17300,24.407415
2013-03-22,26.139999,26.139999,25.99,25.99,3800,24.445036
2013-03-25,26.129999,26.129999,25.959999,26.049999,27700,24.501469
2013-03-26,26.190001,26.209999,26.16,26.209999,18000,24.651958
2013-03-27,26.299999,26.299999,26.030001,26.290001,23100,24.727204
2013-03-28,26.540001,26.540001,26.35,26.469999,11200,24.896502
2013-04-01,26.84,26.84,26.27,26.389999,10100,24.821258
2013-04-02,26.530001,26.540001,26.389999,26.42,5300,24.849475
2013-04-03,26.790001,26.790001,26.200001,26.27,8900,24.708392
2013-04-04,26.309999,26.389999,26.299999,26.379999,4600,24.811852
2013-04-05,26.299999,26.49,26.16,26.360001,9200,24.793042
2013-04-08,26.74,26.74,26.41,26.59,13000,25.00937
2013-04-09,26.860001,26.940001,26.540001,26.610001,7100,25.028181
2013-04-10,26.66,26.940001,26.66,26.84,4800,25.244509
2013-04-11,27.190001,27.190001,26.93,26.950001,6900,25.34797
2013-04-12,26.940001,26.940001,26.860001,26.91,8800,25.310347
2013-04-15,26.85,26.860001,26.360001,26.360001,4800,24.793042
2013-04-16,26.530001,26.690001,26.49,26.690001,9800,25.103426
2013-04-17,26.99,26.99,26.24,26.35,11200,24.783637
2013-04-18,26.389999,26.389999,26.290001,26.35,3100,24.783637
2013-04-19,26.51,26.67,26.059999,26.66,16700,25.075208
2013-04-22,26.549999,26.68,26.459999,26.65,11000,25.065802
2013-04-23,26.9,26.9,26.67,26.809999,36100,25.216291
2013-04-24,27.24,27.24,26.809999,26.889999,86300,25.291536
2013-04-25,27.139999,27.23,26.860001,26.91,27500,25.310347
2013-04-26,27.040001,27.040001,26.780001,26.83,28700,25.235103
