"Index","open","high","low","close","volume","adjusted"
2015-04-09,25.110001,25.110001,25.068001,25.068001,500,24.551392
2015-04-10,25.200001,25.23,25.191999,25.23,4100,24.710052
2015-04-13,25.25,25.280001,25.17,25.17,1700,24.651289
2015-04-14,25.129999,25.16,25.02,25.129999,1400,24.612112
2015-04-15,25.280001,25.280001,25.214001,25.214001,900,24.694383
2015-04-16,25.129999,25.24,25.09,25.190001,732000,24.670877
2015-04-17,25.02,25.02,24.778999,24.870001,382000,24.357472
2015-04-20,25.087999,25.09,25.030001,25.08,13500,24.563144
2015-04-21,25.018,25.018,24.959999,24.959999,2500,24.445616
2015-04-22,24.9,25.009001,24.9,25,1200,24.484792
2015-04-23,25,25.120001,25,25.08,1900,24.563144
2015-04-24,24.98,25.08,24.98,25.059999,11300,24.543555
2015-04-27,25.124001,25.139999,24.969999,24.969999,9800,24.45541
2015-04-28,24.9,25.040001,24.9,25.030001,6700,24.514175
2015-04-29,24.938999,24.940001,24.860001,24.879999,5800,24.367265
2015-04-30,24.790001,24.790001,24.634001,24.634001,2800,24.126336
2015-05-01,24.82,24.92,24.799999,24.914,4400,24.400564
2015-05-04,25.02,25.030001,24.985001,25.017,3000,24.501442
2015-05-05,25.02,25.02,24.790001,24.790001,1900,24.279121
2015-05-06,24.870001,24.870001,24.594999,24.67,3100,24.161593
2015-05-07,24.83,24.879999,24.809999,24.83,2600,24.318296
2015-05-08,25.09,25.18,25.09,25.120001,5300,24.60232
2015-05-11,25.139999,25.15,25.040001,25.040001,3100,24.523969
2015-05-12,25.030001,25.030001,24.870001,24.99,8400,24.474998
2015-05-13,25.040001,25.040001,24.957001,24.959999,3800,24.445616
2015-05-14,25.030001,25.26,25.030001,25.219999,3100,24.700258
2015-05-15,25.33,25.33,25.23,25.27,4400,24.749229
2015-05-18,25.309999,25.35,25.25,25.35,8800,24.82758
2015-05-19,25.41,25.450001,25.35,25.389999,6500,24.866755
2015-05-20,25.48,25.48,25.370001,25.43,4000,24.905931
2015-05-21,25.389999,25.42,25.362,25.362,15100,24.839332
2015-05-22,25.372,25.4,25.370001,25.4,3500,24.876549
2015-05-26,25.209999,25.209999,25.096001,25.129999,3700,24.612112
2015-05-27,25.15,25.32,25.15,25.32,4700,24.798197
2015-05-28,25.200001,25.239,25.200001,25.239,1400,24.718867
2015-05-29,25.24,25.24,25.084,25.15,3900,24.631701
2015-06-01,25.16,25.190001,25.059999,25.190001,2800,24.670877
2015-06-02,25.139999,25.15,25.049999,25.110001,5900,24.592526
2015-06-03,25.200001,25.209999,25.16,25.209999,3400,24.690464
2015-06-04,25.18,25.18,24.944,24.98,5500,24.465204
2015-06-05,24.940001,24.947001,24.9,24.940001,2300,24.426029
2015-06-08,24.9,24.940001,24.858,24.858,2800,24.345719
2015-06-09,24.83,24.91,24.789,24.879999,4800,24.367265
2015-06-10,25.097,25.16,25.097,25.16,900,24.641495
2015-06-11,25.256001,25.285,25.209999,25.233999,31600,24.713969
2015-06-12,25.18,25.18,25.09,25.129999,3200,24.612112
2015-06-15,24.98,24.99,24.85,24.940001,47500,24.462047
2015-06-16,24.987,25.1,24.987,25.1,3300,24.61898
2015-06-17,25.146,25.146,25.030001,25.040001,1800,24.560131
2015-06-18,25.41,25.440001,25.409,25.42,2000,24.932848
2015-06-19,25.389999,25.389999,25.370001,25.370001,1200,24.883806
2015-06-22,25.43,25.43,25.43,25.43,1300,24.942656
2015-06-23,25.43,25.440001,25.389999,25.41,2900,24.923039
2015-06-24,25.35,25.35,25.25,25.25,3700,24.766105
2015-06-25,25.309999,25.309999,25.186001,25.186001,1900,24.703333
2015-06-26,25.200001,25.245001,25.176001,25.219999,7700,24.73668
2015-06-29,25.17,25.17,24.754,24.77,9600,24.295305
2015-06-30,24.799999,24.924,24.764,24.856001,1700,24.379657
2015-07-01,25.15,25.15,25.047001,25.080999,709100,24.600343
2015-07-02,25.23,25.23,25.025999,25.08,300600,24.599363
2015-07-06,25.01,25.110001,24.927,25.030001,16100,24.550322
2015-07-07,25.139999,25.209999,24.877001,25.209999,3900,24.726871
2015-07-08,24.975,25.059999,24.858,24.860001,49100,24.38358
2015-07-09,25.16,25.16,24.940001,24.965,41000,24.486567
2015-07-10,25.23,25.26,25.120001,25.25,10700,24.766105
2015-07-13,25.49,25.49,25.379999,25.469999,37600,24.981889
2015-07-14,25.469999,25.542,25.43,25.540001,6300,25.050549
2015-07-15,25.49,25.540001,25.448,25.5,6100,25.047601
2015-07-16,25.549999,25.610001,25.549999,25.610001,7800,25.15565
2015-07-17,25.49,25.540001,25.459999,25.540001,5500,25.086892
2015-07-20,25.540001,25.59,25.5,25.540001,49100,25.086892
2015-07-21,25.6,25.6,25.365999,25.440001,41300,24.988666
2015-07-22,25.426001,25.5,25.426001,25.49,4400,25.037778
2015-07-23,25.48,25.49,25.349001,25.349001,11300,24.899281
2015-07-24,25.370001,25.370001,25.179001,25.209999,34100,24.762745
2015-07-27,25.049999,25.101999,25.035,25.059999,10900,24.615406
2015-07-28,25.202,25.35,25.200001,25.35,19100,24.900262
2015-07-29,25.476,25.59,25.474001,25.59,5200,25.136004
2015-07-30,25.57,25.610001,25.469,25.610001,6400,25.15565
2015-07-31,25.642,25.690001,25.620001,25.620001,45200,25.165473
2015-08-03,25.639999,25.639999,25.448999,25.51,3700,25.057424
2015-08-04,25.65,25.700001,25.547001,25.559999,1058000,25.106536
2015-08-05,26,26,25.686001,25.74,485100,25.283343
2015-08-06,25.677999,25.677999,25.5,25.57,12900,25.116359
2015-08-07,25.610001,25.610001,25.42,25.549999,51500,25.096713
2015-08-10,25.700001,25.83,25.700001,25.809999,8700,25.352101
2015-08-11,25.75,25.75,25.57,25.67,13800,25.214585
2015-08-12,25.450001,25.610001,25.27,25.610001,52300,25.15565
2015-08-13,25.639999,25.700001,25.539,25.606001,4200,25.151721
2015-08-14,25.620001,25.74,25.59,25.74,10200,25.319929
2015-08-17,25.57,25.83,25.57,25.83,18700,25.408461
2015-08-18,25.818001,25.84,25.76,25.809999,8600,25.388787
2015-08-19,25.612,25.715,25.530001,25.700001,6400,25.280583
