"Index","open","high","low","close","volume","adjusted"
2013-02-15,25.26,25.280001,25.26,25.27,57300,23.485957
2013-02-19,25.77,25.77,25.360001,25.440001,4800,23.643955
2013-02-20,25.49,25.5,25.219999,25.219999,2500,23.439486
2013-02-21,25.25,25.280001,25.15,25.17,8400,23.393017
2013-02-22,25.25,25.309999,25.25,25.309999,32600,23.523132
2013-02-25,25.879999,26,25,25,9100,23.235019
2013-02-26,24.969999,25.059999,24.940001,25.030001,51500,23.262901
2013-02-27,25.15,25.33,25.15,25.33,4400,23.541721
2013-02-28,25.389999,25.389999,25.290001,25.290001,600,23.504546
2013-03-01,25.639999,25.639999,25.120001,25.42,13800,23.625367
2013-03-04,25.629999,25.629999,25.33,25.469999,4800,23.671836
2013-03-05,25.67,25.73,25.66,25.690001,4100,23.876306
2013-03-06,26.219999,26.219999,25.700001,25.709999,22900,23.894892
2013-03-07,26.190001,26.190001,25.719999,25.77,17900,23.950658
2013-03-08,25.84,25.91,25.82,25.9,13900,24.071479
2013-03-11,25.959999,25.959999,25.75,25.85,5100,24.02501
2013-03-12,25.82,25.82,25.75,25.76,4400,23.941363
2013-03-13,26.200001,26.200001,25.75,25.91,6800,24.080773
2013-03-14,26,26.09,25.99,26.09,8000,24.248066
2013-03-15,26.08,26.18,26.08,26.139999,4000,24.334641
2013-03-18,26.219999,26.219999,26.02,26.030001,4800,24.232239
2013-03-19,26.129999,26.139999,25.92,26.049999,4700,24.250857
2013-03-20,26.209999,26.219999,26.17,26.219999,2200,24.409116
2013-03-21,26.129999,26.23,26.129999,26.190001,27700,24.381189
2013-03-22,26.17,26.219999,26.15,26.219999,5400,24.409116
2013-03-25,26.24,26.309999,26.18,26.25,23100,24.437044
2013-03-26,26.370001,26.370001,26.290001,26.360001,13900,24.539448
2013-03-27,26.309999,26.42,26.200001,26.42,23400,24.595303
2013-03-28,26.639999,26.639999,26.4,26.49,18200,24.660469
2013-04-01,26.469999,26.469999,26.17,26.25,5800,24.437044
2013-04-02,26.360001,26.41,26.25,26.25,55100,24.437044
2013-04-03,26.27,26.389999,26.040001,26.15,9700,24.343951
2013-04-04,26.049999,26.190001,26.030001,26.18,3300,24.371879
2013-04-05,26.25,26.25,25.9,26.139999,8300,24.334641
2013-04-08,26.190001,26.33,26.190001,26.33,4500,24.511519
2013-04-09,26.450001,26.450001,26.280001,26.35,5000,24.530138
2013-04-10,26.450001,26.6,26.450001,26.57,4400,24.734943
2013-04-11,26.67,26.709999,26.610001,26.629999,3800,24.790799
2013-04-12,26.690001,26.690001,26.48,26.49,19300,24.660469
2013-04-15,26.33,26.4,26,26,4500,24.204311
2013-04-16,26.049999,26.25,26.049999,26.25,10200,24.437044
2013-04-17,26.030001,26.09,25.719999,25.92,11100,24.129836
2013-04-18,26.07,26.07,25.809999,25.85,6600,24.064671
2013-04-19,25.85,26.209999,25.85,26.209999,9500,24.399806
2013-04-22,26.01,26.209999,26.01,26.209999,1300,24.399806
2013-04-23,26.379999,26.459999,26.370001,26.459999,50600,24.63254
2013-04-24,26.639999,26.639999,26.450001,26.540001,14900,24.707016
2013-04-25,26.559999,26.67,26.51,26.530001,17800,24.697707
2013-04-26,26.48,26.530001,26.34,26.370001,10000,24.548757
2013-04-29,26.450001,26.559999,26.450001,26.530001,12400,24.697707
2013-04-30,26.549999,26.66,26.540001,26.65,5900,24.809418
2013-05-01,26.629999,26.629999,26.190001,26.190001,36900,24.381189
2013-05-02,26.26,26.530001,26.26,26.450001,6200,24.623232
2013-05-03,26.75,26.91,26.719999,26.82,20600,24.967677
2013-05-06,26.91,26.91,26.83,26.879999,14600,25.023533
2013-05-07,26.950001,27.139999,26.93,27.129999,29500,25.256266
2013-05-08,27.16,27.209999,27.07,27.110001,7300,25.237649
