"Index","open","high","low","close","volume","adjusted"
2015-01-26,25.389999,25.389999,25.389999,25.389999,200,25.389999
2015-01-27,25.459999,25.59,25.459999,25.59,800,25.59
2015-01-28,25.299999,25.299999,25.299999,25.299999,100,25.299999
2015-01-29,25.299999,25.299999,25.299999,25.299999,0,25.299999
2015-01-30,25.17,25.17,25.17,25.17,0,25.17
2015-02-02,24.879999,24.879999,24.879999,24.879999,0,24.879999
2015-02-03,25.309999,25.309999,25.309999,25.309999,0,25.309999
2015-02-04,25.940001,25.940001,25.940001,25.940001,0,25.940001
2015-02-05,18.639999,18.639999,18.639999,18.639999,0,18.639999
2015-02-06,26.32,26.32,26.32,26.32,700,26.32
2015-02-09,26.209999,26.209999,26.209999,26.209999,300,26.209999
2015-02-10,26.1,26.1,26.1,26.1,500,26.1
2015-02-11,26.1,26.1,26.1,26.1,0,26.1
2015-02-12,26.25,26.25,26.25,26.25,0,26.25
2015-02-13,26.57,26.57,26.57,26.57,0,26.57
2015-02-17,26.870001,26.870001,26.85,26.85,700,26.85
2015-02-18,26.969999,26.969999,26.969999,26.969999,400,26.969999
2015-02-19,26.948999,27.059999,26.945,27.059999,1600,27.059999
2015-02-20,26.99,27.129999,26.98,27.110001,9200,27.110001
2015-02-23,27.110001,27.110001,27.110001,27.110001,0,27.110001
2015-02-24,27.110001,27.110001,27.110001,27.110001,100,27.110001
2015-02-25,27.219999,27.219999,27.219999,27.219999,100,27.219999
2015-02-26,27.108999,27.120001,26.959999,26.99,4500,26.99
2015-02-27,27.59,27.59,26.950001,26.950001,2100,26.950001
2015-03-02,27.028999,27.030001,27.024,27.024,600,27.024
2015-03-03,27.024,27.024,27.024,27.024,0,27.024
2015-03-04,26.68,26.790001,26.68,26.790001,800,26.790001
2015-03-05,26.870001,26.889,26.809999,26.809999,600,26.809999
2015-03-06,26.49,26.49,26.49,26.49,500,26.49
2015-03-09,26.42,26.49,26.42,26.450001,10100,26.450001
2015-03-10,26.450001,26.450001,26.450001,26.450001,0,26.450001
2015-03-11,26.299999,26.299999,26.299999,26.299999,200,26.299999
2015-03-12,26.299999,26.299999,26.299999,26.299999,0,26.299999
2015-03-13,26.32,26.32,26.316,26.316,300,26.316
2015-03-16,26.5,26.540001,26.5,26.530001,1800,26.530001
2015-03-17,26.59,26.59,26.582001,26.582001,200,26.582001
2015-03-18,26.5,26.98,26.5,26.98,2000,26.98
2015-03-19,26.785,26.785,26.785,26.785,300,26.785
2015-03-20,27.57,27.57,26.98,27.030001,5500,27.030001
2015-03-23,27.1,27.1,27.094,27.094,1400,27.094
2015-03-24,26.98,26.98,26.969999,26.969999,200,26.969999
2015-03-25,26.870001,26.870001,26.620001,26.620001,200,26.620001
2015-03-26,26.639999,26.639999,26.639999,26.639999,1700,26.639999
2015-03-27,26.639999,26.639999,26.639999,26.639999,0,26.639999
2015-03-30,27.469999,27.469999,26.969999,26.969999,300,26.969999
2015-03-31,26.915001,26.915001,26.915001,26.915001,500,26.915001
2015-04-01,26.889999,26.889999,26.889999,26.889999,400,26.889999
2015-04-02,26.951,26.951,26.951,26.951,800,26.951
2015-04-06,27.25,27.25,27.25,27.25,300,27.25
2015-04-07,27.219999,27.221001,27.219999,27.221001,500,27.221001
2015-04-08,27.1,27.1,27.1,27.1,200,27.1
2015-04-09,27.1,27.1,27.1,27.1,0,27.1
2015-04-10,27.450001,27.549999,27.450001,27.540001,2300,27.540001
2015-04-13,27.459999,27.469999,27.431,27.469999,2100,27.469999
2015-04-14,27.469999,27.469999,27.469999,27.469999,0,27.469999
2015-04-15,27.629999,27.629999,27.629999,27.629999,100,27.629999
2015-04-16,27.629999,27.629999,27.629999,27.629999,0,27.629999
2015-04-17,27.629999,27.629999,27.629999,27.629999,0,27.629999
2015-04-20,27.309999,27.41,27.309999,27.41,1200,27.41
2015-04-21,27.370001,27.370001,27.370001,27.370001,100,27.370001
2015-04-22,27.370001,27.370001,27.370001,27.370001,0,27.370001
2015-04-23,27.5,27.5,27.5,27.5,2000,27.5
2015-04-24,27.5,27.5,27.5,27.5,0,27.5
2015-04-27,27.32,27.32,27.32,27.32,200,27.32
2015-04-28,27.146,27.146,27.146,27.146,400,27.146
2015-04-29,27.146,27.146,27.146,27.146,0,27.146
2015-04-30,27.041,27.048,27.041,27.048,400,27.048
2015-05-01,26.871,26.917999,26.871,26.917999,600,26.917999
2015-05-04,26.917999,26.917999,26.917999,26.917999,0,26.917999
2015-05-05,26.808001,26.809999,26.808001,26.809999,1000,26.809999
2015-05-06,26.35,26.35,26.35,26.35,300,26.35
2015-05-07,26.35,26.35,26.35,26.35,0,26.35
2015-05-08,27.1,27.110001,27.1,27.110001,1600,27.110001
2015-05-11,27.110001,27.110001,27.110001,27.110001,0,27.110001
2015-05-12,27.09,27.09,27.09,27.09,200,27.09
2015-05-13,27.09,27.09,27.09,27.09,0,27.09
2015-05-14,27.09,27.09,27.09,27.09,0,27.09
2015-05-15,27.365999,27.365999,27.34,27.34,1400,27.34
2015-05-18,27.34,27.34,27.34,27.34,0,27.34
2015-05-19,27.34,27.34,27.34,27.34,0,27.34
2015-05-20,27.34,27.34,27.34,27.34,0,27.34
2015-05-21,27.6,27.6,27.6,27.6,100,27.6
2015-05-22,27.6,27.6,27.6,27.6,0,27.6
2015-05-26,27.6,27.6,27.6,27.6,0,27.6
2015-05-27,27.351,27.51,27.351,27.51,500,27.51
2015-05-28,27.389999,27.41,27.341,27.41,1100,27.41
2015-05-29,27.16,27.34,27.16,27.33,900,27.33
2015-06-01,27.33,27.33,27.33,27.33,0,27.33
2015-06-02,27.33,27.33,27.33,27.33,0,27.33
2015-06-03,27.33,27.33,27.33,27.33,0,27.33
2015-06-04,27.33,27.33,27.33,27.33,0,27.33
2015-06-05,27.33,27.33,27.33,27.33,0,27.33
2015-06-08,26.66,27.111,26.66,27.07,1500,27.07
2015-06-09,27.07,27.07,27.07,27.07,0,27.07
2015-06-10,26.719999,27.25,26.719999,27.23,600,27.23
2015-06-11,27.23,27.23,27.23,27.23,0,27.23
2015-06-12,27.23,27.23,27.23,27.23,0,27.23
2015-06-15,27.02,27.02,27.02,27.02,100,27.02
2015-06-16,27.120001,27.120001,27.120001,27.120001,100,27.120001
2015-06-17,27.120001,27.190001,27.120001,27.15,20400,27.15
2015-06-18,27.379,27.379,27.360001,27.360001,1500,27.360001
2015-06-19,27.370001,27.370001,27.370001,27.370001,200,27.370001
2015-06-22,27.370001,27.370001,27.370001,27.370001,0,27.370001
2015-06-23,27.5,27.5,27.35,27.43,7200,27.43
2015-06-24,27.49,27.49,27.48,27.48,7100,27.48
2015-06-25,27.25,27.25,27.219999,27.219999,300,27.219999
2015-06-26,27.030001,27.030001,27.030001,27.030001,14800,27.030001
2015-06-29,27.030001,27.030001,27.030001,27.030001,0,27.030001
2015-06-30,27.030001,27.030001,27.030001,27.030001,0,27.030001
2015-07-01,26.57,26.57,26.57,26.57,100,26.57
2015-07-02,26.57,26.57,26.57,26.57,0,26.57
2015-07-06,25.9,25.9,25.9,25.9,0,25.9
2015-07-07,25.99,26.07,25.9,26.07,500,26.07
2015-07-08,25.917,25.917,25.917,25.917,200,25.917
2015-07-09,26.08,26.08,26.08,26.08,300,26.08
2015-07-10,26.006001,26.006001,26.006001,26.006001,100,26.006001
2015-07-13,26.049999,26.27,26.049999,26.27,700,26.27
2015-07-14,26.27,26.27,26.27,26.27,0,26.27
2015-07-15,26.27,26.27,26.27,26.27,0,26.27
2015-07-16,26.385,26.42,26.385,26.42,400,26.42
2015-07-17,26.42,26.42,26.42,26.42,0,26.42
2015-07-20,26.42,26.42,26.42,26.42,0,26.42
2015-07-21,26.18,26.18,26.18,26.18,1000,26.18
2015-07-22,26.18,26.18,26.18,26.18,0,26.18
2015-07-23,26.18,26.18,26.18,26.18,0,26.18
2015-07-24,26.18,26.18,26.18,26.18,0,26.18
2015-07-27,24.92,24.950001,24.92,24.950001,1300,24.950001
2015-07-28,24.950001,24.950001,24.02,24.521,27300,24.521
2015-07-29,24.4,26.74,24.4,25.1,2800,25.1
2015-07-30,25.83,25.83,25.280001,25.299999,900,25.299999
2015-07-31,25.299999,25.299999,25.299999,25.299999,0,25.299999
2015-08-03,25.299999,25.299999,25.299999,25.299999,0,25.299999
2015-08-04,25.299999,25.299999,25.299999,25.299999,0,25.299999
2015-08-05,26.08,26.08,26.08,26.08,200,26.08
2015-08-06,26.08,26.08,26.08,26.08,0,26.08
2015-08-07,26.08,26.08,26.08,26.08,0,26.08
2015-08-10,26.08,26.08,26.08,26.08,0,26.08
2015-08-11,26.08,26.08,26.08,26.08,0,26.08
2015-08-12,26.08,26.08,26.08,26.08,0,26.08
2015-08-13,26.08,26.08,26.08,26.08,0,26.08
2015-08-14,26.08,26.08,26.08,26.08,0,26.08
2015-08-17,24.5,24.5,24.5,24.5,2300,24.5
2015-08-18,24.5,24.5,24.5,24.5,0,24.5
2015-08-19,24.5,24.5,24.5,24.5,0,24.5
2015-08-20,24.5,24.5,24.5,24.5,0,24.5
2015-08-21,24.5,24.5,24.5,24.5,0,24.5
2015-08-24,24.07,24.07,23.98,23.98,400,23.98
2015-08-25,23.299999,23.299999,23.299999,23.299999,200,23.299999
2015-08-26,22.299999,22.299999,22.290001,22.290001,1000,22.290001
2015-08-27,23.35,23.35,23.120001,23.120001,200,23.120001
2015-08-28,23.120001,23.120001,23.120001,23.120001,0,23.120001
2015-08-31,23.120001,23.120001,23.120001,23.120001,0,23.120001
2015-09-01,22.99,23,22.99,22.99,300,22.99
2015-09-02,22.75,23.200001,22.75,23,500,23
2015-09-03,23,23,23,23,0,23
2015-09-04,23,23,23,23,0,23
2015-09-08,23.223,23.223,23.223,23.223,500,23.223
2015-09-09,23.223,23.223,23.223,23.223,0,23.223
2015-09-10,23.223,23.223,23.223,23.223,0,23.223
2015-09-11,23.223,23.223,23.223,23.223,0,23.223
2015-09-14,23.223,23.223,23.223,23.223,0,23.223
2015-09-15,23.223,23.223,23.223,23.223,0,23.223
2015-09-16,24.950001,25,24.950001,25,300,25
