"","fetched.symbol","fetched.date","fetched.status"
"2","VIG",2016-10-02,"success"
"3","SLOW",2016-10-02,"failure"
"4","VTI",2016-10-02,"success"
"5","USMV",2016-10-02,"success"
"6","SCHB",2016-10-02,"success"
"7","IWV",2016-10-02,"success"
"8","ITOT",2016-10-02,"success"
"9","SCHD",2016-10-02,"success"
"10","QUAL",2016-10-02,"success"
"11","MTUM",2016-10-02,"success"
"12","PDP",2016-10-02,"success"
"13","PKW",2016-10-02,"success"
"14","PEY",2016-10-02,"success"
"15","IYY",2016-10-02,"success"
"16","TILT",2016-10-02,"success"
"17","MOAT",2016-10-02,"success"
"18","ONEQ",2016-10-02,"success"
"19","FPX",2016-10-02,"success"
"20","VUSE",2016-10-02,"success"
"21","THRK",2016-10-02,"success"
"22","VTHR",2016-10-02,"success"
"23","CSD",2016-10-02,"success"
"24","FNDB",2016-10-02,"success"
"25","SIZE",2016-10-02,"success"
"26","RYJ",2016-10-02,"success"
"27","DWTR",2016-10-02,"success"
"28","KNOW",2016-10-02,"success"
"29","BFOR",2016-10-02,"success"
"30","NFO",2016-10-02,"success"
"31","TTFS",2016-10-02,"success"
"32","PWC",2016-10-02,"success"
"33","FAB",2016-10-02,"success"
"34","FAD",2016-10-02,"success"
"35","LVHD",2016-10-02,"success"
"36","EUSA",2016-10-02,"success"
"37","GURU",2016-10-02,"success"
"38","TUTT",2016-10-02,"success"
"39","FVL",2016-10-02,"success"
"40","DWAQ",2016-10-02,"success"
"41","DEUS",2016-10-02,"success"
"42","QINC",2016-10-02,"success"
"43","WMW",2016-10-02,"success"
"44","MMTM",2016-10-02,"success"
"45","IPO",2016-10-02,"success"
"46","TUSA",2016-10-02,"success"
"47","NASH",2016-10-02,"success"
"48","RWV",2016-10-02,"success"
"49","ETHO",2016-10-02,"success"
"50","HECO",2016-10-02,"success"
"51","BUZ",2016-10-02,"success"
"52","HUSE",2016-10-02,"success"
"53","VLU",2016-10-02,"success"
"54","TOFR",2016-10-02,"success"
"55","UDBI",2016-10-02,"success"
"56","RORO",2016-10-02,"success"
"57","ACTX",2016-10-02,"success"
"58","CNTR",2016-10-02,"success"
"59","SPY",2016-10-02,"success"
"60","IVV",2016-10-02,"success"
"61","VOO",2016-10-02,"success"
"62","IWB",2016-10-02,"success"
"63","RSP",2016-10-02,"success"
"64","VV",2016-10-02,"success"
"65","SPLV",2016-10-02,"success"
"66","SCHX",2016-10-02,"success"
"67","OEF",2016-10-02,"success"
"68","FV",2016-10-02,"success"
"69","QDF",2016-10-02,"success"
"70","FEX",2016-10-02,"success"
